player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Max Fried,NYY,6.0,,4700,,12.1,highest_value
Ryan McMahon,NYY,2.2,,155,,4.5,highest_value
Trent Grisham,NYY,2.0,,261,,4.0,highest_value
Giancarlo Stanton,NYY,1.7,,31,,3.4,highest_value
JT Brubaker,SF,1.8,,1,,2.9,highest_value
Austin Wells,NYY,1.2,,204,,2.4,highest_value
Camilo Doval,SF,1.1,,3,,2.2,highest_value
Jose Caballero,NYY,1.0,,4,,2.1,highest_value
Jazz Chisholm Jr.,NYY,0.9,,511,,1.9,highest_value
Jake Bird,NYY,0.8,,1,,1.6,highest_value
Logan Webb,SF,0.3,,3400,,0.7,highest_value
Luis Arraez,SF,0.3,,418,,0.6,highest_value
Ben Rice,NYY,0.2,,397,,0.4,highest_value
Cody Bellinger,SF,0.2,,648,,0.4,highest_value
Aaron Judge,NYY,-0.7,,14600,,, most_popular
Rafael Devers,SF,0.1,,7700,,, most_popular
Matt Chapman,SF,-0.2,,3700,,, most_popular
Willy Adames,SF,-0.4,,3500,,, most_popular
Jung Hoo Lee,SF,-0.6,,3400,,, most_popular
Heliot Ramos,SF,0.1,,2400,,, most_popular
Anthony Volpe,NYY,,,,,, most_popular
Carlos Rodon,NYY,,,,,, most_popular
