winner_rank,drafter_label,total_score,slot_index,player_name,team,actual_rs,slot_mult,card_boost,saved_at
1,guineverebeck,76.94,1,Nikola Jokic,DEN,8.4,2.0,0,2025-12-11T00:00:00+00:00
1,guineverebeck,76.94,2,Derik Queen,NOP,3.6,1.8,1.4,2025-12-11T00:00:00+00:00
1,guineverebeck,76.94,3,Peyton Watson,DEN,2.7,1.6,2.0,2025-12-11T00:00:00+00:00
1,guineverebeck,76.94,4,Bobby Portis,BOS,5.8,1.4,2.1,2025-12-11T00:00:00+00:00
1,guineverebeck,76.94,5,Bryce McGowens,DEN,4.4,1.2,3.0,2025-12-11T00:00:00+00:00
2,thannynba,76.09,1,Nikola Jokic,DEN,8.4,2.0,0,2025-12-11T00:00:00+00:00
2,thannynba,76.09,2,Derik Queen,NOP,3.6,1.8,1.4,2025-12-11T00:00:00+00:00
2,thannynba,76.09,3,Bobby Portis,BOS,5.8,1.6,2.1,2025-12-11T00:00:00+00:00
2,thannynba,76.09,4,Keon Ellis,SAC,1.8,1.4,3.0,2025-12-11T00:00:00+00:00
2,thannynba,76.09,5,Bryce McGowens,DEN,4.4,1.2,3.0,2025-12-11T00:00:00+00:00
3,blackhammer0310,75.78,1,Nikola Jokic,DEN,8.4,2.0,0,2025-12-11T00:00:00+00:00
3,blackhammer0310,75.78,2,Trey Murphy III,NOP,4.5,1.8,0.7,2025-12-11T00:00:00+00:00
3,blackhammer0310,75.78,3,Saddiq Bey,ATL,3.0,1.6,1.4,2025-12-11T00:00:00+00:00
3,blackhammer0310,75.78,4,Bobby Portis,BOS,5.8,1.4,2.1,2025-12-11T00:00:00+00:00
3,blackhammer0310,75.78,5,Bryce McGowens,DEN,4.4,1.2,3.0,2025-12-11T00:00:00+00:00
4,camp521,75.72,1,Nikola Jokic,DEN,8.4,2.0,0,2025-12-11T00:00:00+00:00
4,camp521,75.72,2,Bryce McGowens,DEN,4.4,1.8,3.0,2025-12-11T00:00:00+00:00
4,camp521,75.72,3,Bruce Brown,DEN,2.3,1.6,3.0,2025-12-11T00:00:00+00:00
4,camp521,75.72,4,Bobby Portis,BOS,5.8,1.4,2.1,2025-12-11T00:00:00+00:00
4,camp521,75.72,5,Cameron Johnson,BKN,2.0,1.2,2.2,2025-12-11T00:00:00+00:00
5,bob.bb,74.44,1,Nikola Jokic,DEN,8.4,2.0,0,2025-12-11T00:00:00+00:00
5,bob.bb,74.44,2,Derik Queen,NOP,3.6,1.8,1.4,2025-12-11T00:00:00+00:00
5,bob.bb,74.44,3,Shaedon Sharpe,POR,2.7,1.6,1.1,2025-12-11T00:00:00+00:00
5,bob.bb,74.44,4,Bobby Portis,BOS,5.8,1.4,2.1,2025-12-11T00:00:00+00:00
5,bob.bb,74.44,5,Bryce McGowens,DEN,4.4,1.2,3.0,2025-12-11T00:00:00+00:00
6,ethan_ae5,73.87,1,Nikola Jokic,DEN,8.4,2.0,0,2025-12-11T00:00:00+00:00
6,ethan_ae5,73.87,2,James Harden,LAC,3.7,1.8,0.2,2025-12-11T00:00:00+00:00
6,ethan_ae5,73.87,3,Derik Queen,NOP,3.6,1.6,1.4,2025-12-11T00:00:00+00:00
6,ethan_ae5,73.87,4,Bobby Portis,BOS,5.8,1.4,2.1,2025-12-11T00:00:00+00:00
6,ethan_ae5,73.87,5,Bryce McGowens,DEN,4.4,1.2,3.0,2025-12-11T00:00:00+00:00
7,user7,73.71,1,Jabari Smith Jr.,HOU,2.7,2.0,1.3,2025-12-11T00:00:00+00:00
7,user7,73.71,2,Jordan Walsh,BOS,3.9,1.8,2.0,2025-12-11T00:00:00+00:00
7,user7,73.71,3,Bobby Portis,BOS,5.8,1.6,2.1,2025-12-11T00:00:00+00:00
7,user7,73.71,4,Maxime Raynaud,SAC,2.3,1.4,3.0,2025-12-11T00:00:00+00:00
7,user7,73.71,5,Bryce McGowens,DEN,4.4,1.2,3.0,2025-12-11T00:00:00+00:00
8,clipperzpmv,73.04,1,Derik Queen,NOP,3.6,2.0,1.4,2025-12-11T00:00:00+00:00
8,clipperzpmv,73.04,2,Peyton Watson,DEN,2.7,1.8,2.0,2025-12-11T00:00:00+00:00
8,clipperzpmv,73.04,3,Bobby Portis,BOS,5.8,1.6,2.1,2025-12-11T00:00:00+00:00
