winner_rank,drafter_label,total_score,slot_index,player_name,team,actual_rs,slot_mult,card_boost,saved_at
1,newera_22,69.17,1,Jalen Duren,DET,6.0,2.6,,2026-03-30T00:00:00+00:00
1,newera_22,69.17,2,Kon Knueppel,CHA,5.9,2.6,,2026-03-30T00:00:00+00:00
1,newera_22,69.17,3,DeMar DeRozan,SAC,5.7,2.6,,2026-03-30T00:00:00+00:00
1,newera_22,69.17,4,Paolo Banchero,ORL,4.9,2.0,,2026-03-30T00:00:00+00:00
1,newera_22,69.17,5,Daniss Jenkins,DET,3.8,3.6,,2026-03-30T00:00:00+00:00
2,bchillin237,68.63,1,Jalen Duren,DET,6.0,2.6,,2026-03-30T00:00:00+00:00
2,bchillin237,68.63,2,Kon Knueppel,CHA,5.9,2.6,,2026-03-30T00:00:00+00:00
2,bchillin237,68.63,3,Paolo Banchero,ORL,4.9,2.2,,2026-03-30T00:00:00+00:00
2,bchillin237,68.63,4,Daniss Jenkins,DET,3.8,3.8,,2026-03-30T00:00:00+00:00
2,bchillin237,68.63,5,DeMar DeRozan,SAC,5.7,2.2,,2026-03-30T00:00:00+00:00
3,scranuu,67.57,1,DeMar DeRozan,SAC,5.7,3.0,,2026-03-30T00:00:00+00:00
3,scranuu,67.57,2,Daniss Jenkins,DET,3.8,4.2,,2026-03-30T00:00:00+00:00
3,scranuu,67.57,3,Kon Knueppel,CHA,5.9,2.4,,2026-03-30T00:00:00+00:00
3,scranuu,67.57,4,Jalen Duren,DET,6.0,2.0,,2026-03-30T00:00:00+00:00
3,scranuu,67.57,5,Josh Hart,NYK,3.8,2.2,,2026-03-30T00:00:00+00:00
4,whyamisoblack,67.32,1,Kon Knueppel,CHA,5.9,2.8,,2026-03-30T00:00:00+00:00
4,whyamisoblack,67.32,2,DeMar DeRozan,SAC,5.7,2.8,,2026-03-30T00:00:00+00:00
4,whyamisoblack,67.32,3,Jalen Duren,DET,6.0,2.2,,2026-03-30T00:00:00+00:00
4,whyamisoblack,67.32,4,Daniss Jenkins,DET,3.8,3.8,,2026-03-30T00:00:00+00:00
4,whyamisoblack,67.32,5,Jalen Brunson,NYK,4.5,1.6,,2026-03-30T00:00:00+00:00
