winner_rank,drafter_label,total_score,slot_index,player_name,team,actual_rs,slot_mult,card_boost,saved_at
1,chriskowz,66.29,1,Lauri Markkanen,UTA,7.0,2.0,0.3,2025-11-16T00:00:00+00:00
1,chriskowz,66.29,2,Jimmy Butler III,GSW,3.9,1.8,0.6,2025-11-16T00:00:00+00:00
1,chriskowz,66.29,3,Nicolas Claxton,BKN,4.3,1.6,0.9,2025-11-16T00:00:00+00:00
1,chriskowz,66.29,4,Shaedon Sharpe,POR,4.7,1.4,1.1,2025-11-16T00:00:00+00:00
1,chriskowz,66.29,5,Moses Moody,GSW,5.9,1.2,1.9,2025-11-16T00:00:00+00:00
2,dubbies,66.10,1,De'Aaron Fox,SAC,5.1,2.0,0.7,2025-11-16T00:00:00+00:00
2,dubbies,66.10,2,Payton Pritchard,BOS,4.9,1.8,1.0,2025-11-16T00:00:00+00:00
2,dubbies,66.10,3,Moses Moody,GSW,5.9,1.6,1.9,2025-11-16T00:00:00+00:00
2,dubbies,66.10,4,Luke Kornet,BOS,3.3,1.4,1.5,2025-11-16T00:00:00+00:00
2,dubbies,66.10,5,Jusuf Nurkic,POR,2.6,1.2,2.0,2025-11-16T00:00:00+00:00
3,chickfilla,65.66,1,Deni Avdija,POR,4.6,2.0,0.5,2025-11-16T00:00:00+00:00
3,chickfilla,65.66,2,Moses Moody,GSW,5.9,1.8,1.9,2025-11-16T00:00:00+00:00
3,chickfilla,65.66,3,Jalen Johnson,ATL,4.9,1.6,0.4,2025-11-16T00:00:00+00:00
3,chickfilla,65.66,4,Michael Porter Jr.,DEN,5.4,1.4,0.7,2025-11-16T00:00:00+00:00
3,chickfilla,65.66,5,Onyeka Okongwu,ATL,4.8,1.2,1.1,2025-11-16T00:00:00+00:00
4,rileysob07,65.33,1,James Harden,LAC,4.9,2.0,0.2,2025-11-16T00:00:00+00:00
4,rileysob07,65.33,2,De'Aaron Fox,SAC,5.1,1.8,0.7,2025-11-16T00:00:00+00:00
4,rileysob07,65.33,3,Dyson Daniels,ATL,4.0,1.6,1.4,2025-11-16T00:00:00+00:00
4,rileysob07,65.33,4,Cooper Flagg,DAL,4.3,1.4,1.3,2025-11-16T00:00:00+00:00
4,rileysob07,65.33,5,Moses Moody,GSW,5.9,1.2,1.9,2025-11-16T00:00:00+00:00
5,theavsreport,64.31,1,Lauri Markkanen,UTA,7.0,2.0,0.3,2025-11-16T00:00:00+00:00
5,theavsreport,64.31,2,Cooper Flagg,DAL,4.3,1.8,1.3,2025-11-16T00:00:00+00:00
5,theavsreport,64.31,3,Dyson Daniels,ATL,4.0,1.6,1.4,2025-11-16T00:00:00+00:00
5,theavsreport,64.31,4,Shaedon Sharpe,POR,4.7,1.4,1.1,2025-11-16T00:00:00+00:00
5,theavsreport,64.31,5,Onyeka Okongwu,ATL,4.8,1.2,1.1,2025-11-16T00:00:00+00:00
6,kobeballer824,64.18,1,Devin Booker,PHX,3.3,2.0,0.3,2025-11-16T00:00:00+00:00
6,kobeballer824,64.18,2,Moses Moody,GSW,5.9,1.8,1.9,2025-11-16T00:00:00+00:00
6,kobeballer824,64.18,3,Daniel Gafford,DAL,3.8,1.6,2.1,2025-11-16T00:00:00+00:00
6,kobeballer824,64.18,4,Anthony Black,ORL,2.9,1.4,2.5,2025-11-16T00:00:00+00:00
6,kobeballer824,64.18,5,Jordan Walsh,BOS,2.6,1.2,2.4,2025-11-16T00:00:00+00:00
7,triniti,64.13,1,De'Aaron Fox,SAC,5.1,2.0,0.7,2025-11-16T00:00:00+00:00
7,triniti,64.13,2,Onyeka Okongwu,ATL,4.8,1.8,1.1,2025-11-16T00:00:00+00:00
7,triniti,64.13,3,Moses Moody,GSW,5.9,1.6,1.9,2025-11-16T00:00:00+00:00
7,triniti,64.13,4,Tristan da Silva,DEN,3.3,1.4,2.2,2025-11-16T00:00:00+00:00
7,triniti,64.13,5,Ace Bailey,SAC,0.9,1.2,3.0,2025-11-16T00:00:00+00:00
8,nmkstupidus,64.01,1,Moses Moody,GSW,5.9,2.0,1.9,2025-11-16T00:00:00+00:00
8,nmkstupidus,64.01,2,Franz Wagner,ORL,4.4,1.8,0.6,2025-11-16T00:00:00+00:00
8,nmkstupidus,64.01,3,Kevin Durant,PHX,3.9,1.6,0.6,2025-11-16T00:00:00+00:00
8,nmkstupidus,64.01,4,Dyson Daniels,ATL,4.0,1.4,1.4,2025-11-16T00:00:00+00:00
8,nmkstupidus,64.01,5,Cooper Flagg,DAL,4.3,1.2,1.3,2025-11-16T00:00:00+00:00
