winner_rank,drafter_label,total_score,slot_index,player_name,team,actual_rs,slot_mult,card_boost,saved_at
1,bigmanfan,69.70,1,Paolo Banchero,ORL,3.3,3.8,,2026-03-28T00:00:00.000000+00:00
1,bigmanfan,69.70,2,Quentin Grimes,PHI,4.2,4.8,,2026-03-28T00:00:00.000000+00:00
1,bigmanfan,69.70,3,Joel Embiid,PHI,3.3,4.6,,2026-03-28T00:00:00.000000+00:00
1,bigmanfan,69.70,4,Cameron Johnson,DEN,2.2,4.4,,2026-03-28T00:00:00.000000+00:00
1,bigmanfan,69.70,5,Christian Braun,DEN,2.7,4.2,,2026-03-28T00:00:00.000000+00:00
2,marcloxi1,67.80,1,Nikola Jokic,DEN,4.5,2.0,,2026-03-28T00:00:00.000000+00:00
2,marcloxi1,67.80,2,Joel Embiid,PHI,3.3,4.8,,2026-03-28T00:00:00.000000+00:00
2,marcloxi1,67.80,3,Quentin Grimes,PHI,4.2,4.6,,2026-03-28T00:00:00.000000+00:00
2,marcloxi1,67.80,4,Paolo Banchero,ORL,3.3,3.2,,2026-03-28T00:00:00.000000+00:00
2,marcloxi1,67.80,5,Collin Sexton,CHA,3.8,3.3,,2026-03-28T00:00:00.000000+00:00
3,danielwest,67.30,1,Shai Gilgeous-Alexander,OKC,5.1,2.0,,2026-03-28T00:00:00.000000+00:00
3,danielwest,67.30,2,Paolo Banchero,ORL,3.3,3.6,,2026-03-28T00:00:00.000000+00:00
3,danielwest,67.30,3,Joel Embiid,PHI,3.3,4.6,,2026-03-28T00:00:00.000000+00:00
3,danielwest,67.30,4,Christian Braun,DEN,2.7,4.4,,2026-03-28T00:00:00.000000+00:00
3,danielwest,67.30,5,Quentin Grimes,PHI,4.2,4.2,,2026-03-28T00:00:00.000000+00:00
4,newyorkyankees,66.64,1,LaMelo Ball,CHA,5.1,2.9,,2026-03-28T00:00:00.000000+00:00
4,newyorkyankees,66.64,2,Christian Braun,DEN,2.7,4.8,,2026-03-28T00:00:00.000000+00:00
4,newyorkyankees,66.64,3,Quentin Grimes,PHI,4.2,4.6,,2026-03-28T00:00:00.000000+00:00
4,newyorkyankees,66.64,4,Isaiah Hartenstein,OKC,2.8,3.5,,2026-03-28T00:00:00.000000+00:00
4,newyorkyankees,66.64,5,Cameron Johnson,DEN,2.2,4.2,,2026-03-28T00:00:00.000000+00:00
