winner_rank,drafter_label,total_score,slot_index,player_name,team,actual_rs,slot_mult,card_boost,saved_at
1,suckemdryrondo,88.69,1,Khris Middleton,WAS,4.3,2.0,2.8,2025-11-25T00:00:00+00:00
1,suckemdryrondo,88.69,2,Corey Kispert,WAS,3.6,1.8,3.0,2025-11-25T00:00:00+00:00
1,suckemdryrondo,88.69,3,CJ McCollum,NOP,9.2,1.6,1.3,2025-11-25T00:00:00+00:00
1,suckemdryrondo,88.69,4,John Collins,ATL,2.5,1.4,2.7,2025-11-25T00:00:00+00:00
1,suckemdryrondo,88.69,5,Anthony Black,ORL,4.4,1.2,2.0,2025-11-25T00:00:00+00:00
2,birthcontrol,87.43,1,Luka Doncic,LAL,9.5,2.0,0.0,2025-11-25T00:00:00+00:00
2,birthcontrol,87.43,2,CJ McCollum,NOP,9.2,1.8,1.3,2025-11-25T00:00:00+00:00
2,birthcontrol,87.43,3,Anthony Black,ORL,4.4,1.6,2.0,2025-11-25T00:00:00+00:00
2,birthcontrol,87.43,4,Corey Kispert,WAS,3.6,1.4,3.0,2025-11-25T00:00:00+00:00
2,birthcontrol,87.43,5,Jared McCain,PHI,2.0,1.2,3.0,2025-11-25T00:00:00+00:00
3,boom00,81.36,1,CJ McCollum,NOP,9.2,2.0,1.3,2025-11-25T00:00:00+00:00
3,boom00,81.36,2,Alexandre Sarr,WAS,4.7,1.8,0.7,2025-11-25T00:00:00+00:00
3,boom00,81.36,3,James Harden,CLE,4.4,1.6,0.1,2025-11-25T00:00:00+00:00
3,boom00,81.36,4,Anthony Black,ORL,4.4,1.4,2.0,2025-11-25T00:00:00+00:00
3,boom00,81.36,5,Khris Middleton,WAS,4.3,1.2,2.8,2025-11-25T00:00:00+00:00
4,purploix,80.24,1,Luka Doncic,LAL,9.5,2.0,0.0,2025-11-25T00:00:00+00:00
4,purploix,80.24,2,James Harden,CLE,4.4,1.8,0.1,2025-11-25T00:00:00+00:00
4,purploix,80.24,3,CJ McCollum,NOP,9.2,1.6,1.3,2025-11-25T00:00:00+00:00
4,purploix,80.24,4,Kris Dunn,LAC,2.8,1.4,3.0,2025-11-25T00:00:00+00:00
4,purploix,80.24,5,Anthony Black,ORL,4.4,1.2,2.0,2025-11-25T00:00:00+00:00
