winner_rank,drafter_label,total_score,slot_index,player_name,team,actual_rs,slot_mult,card_boost,saved_at
1,27.dejan.h,70.69,1,Tyrese Maxey,PHI,8.3,2.0,0.1,2025-12-30T00:00:00+00:00
1,27.dejan.h,70.69,2,Ja Morant,MEM,6.0,1.8,1.0,2025-12-30T00:00:00+00:00
1,27.dejan.h,70.69,3,Cedric Coward,PHI,4.8,1.6,1.5,2025-12-30T00:00:00+00:00
1,27.dejan.h,70.69,4,Jaylen Wells,MEM,1.7,1.4,2.0,2025-12-30T00:00:00+00:00
1,27.dejan.h,70.69,5,Jusuf Nurkic,PHX,5.7,1.2,1.5,2025-12-30T00:00:00+00:00
2,wolf32,69.60,1,Tyrese Maxey,PHI,8.3,2.0,0.1,2025-12-30T00:00:00+00:00
2,wolf32,69.60,2,Ja Morant,MEM,6.0,1.8,1.0,2025-12-30T00:00:00+00:00
2,wolf32,69.60,3,Jusuf Nurkic,PHX,5.7,1.6,1.5,2025-12-30T00:00:00+00:00
2,wolf32,69.60,4,Maxime Raynaud,PHI,2.4,1.4,2.4,2025-12-30T00:00:00+00:00
2,wolf32,69.60,5,Brook Lopez,MIL,2.0,1.2,3.0,2025-12-30T00:00:00+00:00
3,alexgtt,68.83,1,Tyrese Maxey,PHI,8.3,2.0,0.1,2025-12-30T00:00:00+00:00
3,alexgtt,68.83,2,Jusuf Nurkic,PHX,5.7,1.8,1.5,2025-12-30T00:00:00+00:00
3,alexgtt,68.83,3,Joel Embiid,PHI,5.2,1.6,0.7,2025-12-30T00:00:00+00:00
3,alexgtt,68.83,4,Jaylen Brown,BOS,4.3,1.4,0.3,2025-12-30T00:00:00+00:00
3,alexgtt,68.83,5,Ja Morant,MEM,6.0,1.2,1.0,2025-12-30T00:00:00+00:00
4,cl0vis,67.42,1,Kawhi Leonard,LAC,5.6,2.0,0.2,2025-12-30T00:00:00+00:00
4,cl0vis,67.42,2,Cedric Coward,PHI,4.8,1.8,1.5,2025-12-30T00:00:00+00:00
4,cl0vis,67.42,3,Jusuf Nurkic,PHX,5.7,1.6,1.5,2025-12-30T00:00:00+00:00
4,cl0vis,67.42,4,Kris Dunn,LAC,2.1,1.4,2.5,2025-12-30T00:00:00+00:00
4,cl0vis,67.42,5,Ja Morant,MEM,6.0,1.2,1.0,2025-12-30T00:00:00+00:00
5,beezybee,66.13,1,Tyrese Maxey,PHI,8.3,2.0,0.1,2025-12-30T00:00:00+00:00
5,beezybee,66.13,2,Cedric Coward,PHI,4.8,1.8,1.5,2025-12-30T00:00:00+00:00
5,beezybee,66.13,3,Kawhi Leonard,LAC,5.6,1.6,0.2,2025-12-30T00:00:00+00:00
5,beezybee,66.13,4,Jaylen Brown,BOS,4.3,1.4,0.3,2025-12-30T00:00:00+00:00
5,beezybee,66.13,5,Jusuf Nurkic,PHX,5.7,1.2,1.5,2025-12-30T00:00:00+00:00
6,tzmisa,65.93,1,Jusuf Nurkic,PHX,5.7,2.0,1.5,2025-12-30T00:00:00+00:00
6,tzmisa,65.93,2,VJ Edgecombe,PHI,5.1,1.8,1.0,2025-12-30T00:00:00+00:00
6,tzmisa,65.93,3,Ja Morant,MEM,6.0,1.6,1.0,2025-12-30T00:00:00+00:00
6,tzmisa,65.93,4,Keyonte George,UTA,5.4,1.4,0.4,2025-12-30T00:00:00+00:00
6,tzmisa,65.93,5,Cade Cunningham,DET,4.5,1.2,0.2,2025-12-30T00:00:00+00:00
7,rafalves,64.68,1,Tyrese Maxey,PHI,8.3,2.0,0.1,2025-12-30T00:00:00+00:00
7,rafalves,64.68,2,Kawhi Leonard,LAC,5.6,1.8,0.2,2025-12-30T00:00:00+00:00
7,rafalves,64.68,3,VJ Edgecombe,PHI,5.1,1.6,1.0,2025-12-30T00:00:00+00:00
7,rafalves,64.68,4,Cedric Coward,PHI,4.8,1.4,1.5,2025-12-30T00:00:00+00:00
7,rafalves,64.68,5,Isaiah Collier,UTA,2.7,1.2,2.1,2025-12-30T00:00:00+00:00
8,cremebruleeee,64.41,1,Tyrese Maxey,PHI,8.3,2.0,0.1,2025-12-30T00:00:00+00:00
8,cremebruleeee,64.41,2,Jalen Duren,DET,2.7,1.8,0.7,2025-12-30T00:00:00+00:00
8,cremebruleeee,64.41,3,Jusuf Nurkic,PHX,5.7,1.6,1.5,2025-12-30T00:00:00+00:00
8,cremebruleeee,64.41,4,Cedric Coward,PHI,4.8,1.4,1.5,2025-12-30T00:00:00+00:00
8,cremebruleeee,64.41,5,Maxime Raynaud,PHI,2.4,1.2,2.4,2025-12-30T00:00:00+00:00
