winner_rank,drafter_label,total_score,slot_index,player_name,team,actual_rs,slot_mult,card_boost,saved_at
1,vini_pa,68.83,1,Jamal Murray,DEN,11.4,2.0,0.4,2025-12-03T00:00:00+00:00
1,vini_pa,68.83,2,Karl-Anthony Towns,NYK,6.1,1.8,0.5,2025-12-03T00:00:00+00:00
1,vini_pa,68.83,3,Nikola Jokic,DEN,6.1,1.6,0.0,2025-12-03T00:00:00+00:00
1,vini_pa,68.83,4,James Harden,LAC,4.9,1.4,0.2,2025-12-03T00:00:00+00:00
1,vini_pa,68.83,5,Michael Porter Jr.,DEN,5.6,1.2,0.6,2025-12-03T00:00:00+00:00
2,bloopfranklin,65.33,1,Nikola Jokic,DEN,6.1,2.0,0.0,2025-12-03T00:00:00+00:00
2,bloopfranklin,65.33,2,Jamal Murray,DEN,11.4,1.8,0.4,2025-12-03T00:00:00+00:00
2,bloopfranklin,65.33,3,Karl-Anthony Towns,NYK,6.1,1.6,0.5,2025-12-03T00:00:00+00:00
2,bloopfranklin,65.33,4,Cooper Flagg,DAL,3.2,1.4,1.1,2025-12-03T00:00:00+00:00
2,bloopfranklin,65.33,5,Josh Hart,NYK,3.2,1.2,1.1,2025-12-03T00:00:00+00:00
3,nozzledozzle,63.41,1,Jamal Murray,DEN,11.4,2.0,0.4,2025-12-03T00:00:00+00:00
3,nozzledozzle,63.41,2,De'Aaron Fox,SAS,4.1,1.8,0.4,2025-12-03T00:00:00+00:00
3,nozzledozzle,63.41,3,Karl-Anthony Towns,NYK,6.1,1.6,0.5,2025-12-03T00:00:00+00:00
3,nozzledozzle,63.41,4,Kevin Durant,SAC,3.8,1.4,0.7,2025-12-03T00:00:00+00:00
3,nozzledozzle,63.41,5,Amen Thompson,HOU,2.4,1.2,1.4,2025-12-03T00:00:00+00:00
4,slayskii,62.73,1,Jamal Murray,DEN,11.4,2.0,0.4,2025-12-03T00:00:00+00:00
4,slayskii,62.73,2,Josh Giddey,CHI,4.5,1.8,0.3,2025-12-03T00:00:00+00:00
4,slayskii,62.73,3,Karl-Anthony Towns,NYK,6.1,1.6,0.5,2025-12-03T00:00:00+00:00
4,slayskii,62.73,4,Franz Wagner,ORL,4.2,1.4,0.6,2025-12-03T00:00:00+00:00
4,slayskii,62.73,5,Miles Bridges,NYK,2.8,1.2,0.5,2025-12-03T00:00:00+00:00
5,mke,62.30,1,Nikola Jokic,DEN,6.1,2.0,0.0,2025-12-03T00:00:00+00:00
5,mke,62.30,2,Peyton Watson,DEN,2.3,1.8,1.9,2025-12-03T00:00:00+00:00
5,mke,62.30,3,Egor Demin,UTA,1.4,1.6,2.3,2025-12-03T00:00:00+00:00
5,mke,62.30,4,Ryan Nembhard,IND,4.6,1.4,2.4,2025-12-03T00:00:00+00:00
5,mke,62.30,5,Maxime Raynaud,SAC,4.5,1.2,3.0,2025-12-03T00:00:00+00:00
6,sirensounds,62.13,1,Nikola Jokic,DEN,6.1,2.0,0.0,2025-12-03T00:00:00+00:00
6,sirensounds,62.13,2,James Harden,LAC,4.9,1.8,0.2,2025-12-03T00:00:00+00:00
6,sirensounds,62.13,3,Jamal Murray,DEN,11.4,1.6,0.4,2025-12-03T00:00:00+00:00
6,sirensounds,62.13,4,Evan Mobley,CLE,5.1,1.4,0.6,2025-12-03T00:00:00+00:00
6,sirensounds,62.13,5,Ausar Thompson,DET,3.7,1.2,0.8,2025-12-03T00:00:00+00:00
7,lukaka_,62.01,1,Nikola Jokic,DEN,6.1,2.0,0.0,2025-12-03T00:00:00+00:00
7,lukaka_,62.01,2,Jamal Murray,DEN,11.4,1.8,0.4,2025-12-03T00:00:00+00:00
7,lukaka_,62.01,3,Pascal Siakam,IND,2.5,1.6,0.5,2025-12-03T00:00:00+00:00
7,lukaka_,62.01,4,Kel'el Ware,MIA,4.2,1.4,1.2,2025-12-03T00:00:00+00:00
7,lukaka_,62.01,5,LaMelo Ball,CHA,4.8,1.2,0.6,2025-12-03T00:00:00+00:00
8,jomite98,61.94,1,Karl-Anthony Towns,NYK,6.1,2.0,0.5,2025-12-03T00:00:00+00:00
8,jomite98,61.94,2,Deni Avdija,POR,4.2,1.8,0.4,2025-12-03T00:00:00+00:00
8,jomite98,61.94,3,Alperen Sengun,HOU,4.1,1.6,0.3,2025-12-03T00:00:00+00:00
8,jomite98,61.94,4,Jamal Murray,DEN,11.4,1.4,0.4,2025-12-03T00:00:00+00:00
8,jomite98,61.94,5,Evan Mobley,CLE,5.1,1.2,0.6,2025-12-03T00:00:00+00:00
