winner_rank,drafter_label,total_score,slot_index,player_name,team,actual_rs,slot_mult,card_boost,saved_at
1,,59.82,1,Nikola Jokić,DEN,6.6,2.0,,2026-03-26T01:00:00+00:00
1,,59.82,2,Paolo Banchero,ORL,4.7,2.4,,2026-03-26T01:00:00+00:00
1,,59.82,3,Coby White,CHA,5.4,2.8,,2026-03-26T01:00:00+00:00
1,,59.82,4,Jalen Green,PHX,3.5,2.7,,2026-03-26T01:00:00+00:00
1,,59.82,5,Devin Carter,SAC,2.6,4.2,,2026-03-26T01:00:00+00:00
1,idand,59.82,1,Nikola Jokić,DEN,6.6,2.0,,2026-03-26T01:00:00+00:00
1,idand,59.82,2,Paolo Banchero,ORL,4.7,2.4,,2026-03-26T01:00:00+00:00
1,idand,59.82,3,Coby White,CHA,5.4,2.8,,2026-03-26T01:00:00+00:00
1,idand,59.82,4,Jalen Green,PHX,3.5,2.7,,2026-03-26T01:00:00+00:00
1,idand,59.82,5,Devin Carter,SAC,2.6,4.2,,2026-03-26T01:00:00+00:00
3,jpantera,59.31,1,Nikola Jokić,DEN,6.6,2.0,,2026-03-26T01:00:00+00:00
3,jpantera,59.31,2,Jalen Green,PHX,3.5,3.1,,2026-03-26T01:00:00+00:00
3,jpantera,59.31,3,Oso Ighodaro,PHX,2.7,4.3,,2026-03-26T01:00:00+00:00
3,jpantera,59.31,4,Devin Carter,SAC,2.6,4.4,,2026-03-26T01:00:00+00:00
3,jpantera,59.31,5,Jevon Carter,ORL,3.0,4.2,,2026-03-26T01:00:00+00:00
4,kimif,59.02,1,LaMelo Ball,CHA,4.4,2.6,,2026-03-26T01:00:00+00:00
4,kimif,59.02,2,Coby White,CHA,5.4,3.0,,2026-03-26T01:00:00+00:00
4,kimif,59.02,3,Moussa Diabaté,HOU,3.7,3.2,,2026-03-26T01:00:00+00:00
4,kimif,59.02,4,Tristan da Silva,ORL,2.3,3.8,,2026-03-26T01:00:00+00:00
4,kimif,59.02,5,Devin Carter,SAC,2.6,4.2,,2026-03-26T01:00:00+00:00
5,mccoylaw,58.94,1,Nikola Jokić,DEN,6.6,2.0,,2026-03-26T01:00:00+00:00
5,mccoylaw,58.94,2,Jalen Brunson,NY,4.7,2.4,,2026-03-26T01:00:00+00:00
5,mccoylaw,58.94,3,Royce O'Neale,CHI,3.8,2.8,,2026-03-26T01:00:00+00:00
5,mccoylaw,58.94,4,Paolo Banchero,ORL,4.7,2.7,,2026-03-26T01:00:00+00:00
5,mccoylaw,58.94,5,Coby White,CHA,5.4,4.2,,2026-03-26T01:00:00+00:00
6,ryman5,58.91,1,Nikola Jokić,DEN,6.6,2.0,,2026-03-26T01:00:00+00:00
6,ryman5,58.91,2,Devin Carter,SAC,2.6,2.4,,2026-03-26T01:00:00+00:00
6,ryman5,58.91,3,Oso Ighodaro,PHX,2.7,2.8,,2026-03-26T01:00:00+00:00
6,ryman5,58.91,4,Devin Plowden,SAC,3.0,2.7,,2026-03-26T01:00:00+00:00
6,ryman5,58.91,5,Jevon Carter,ORL,3.0,4.2,,2026-03-26T01:00:00+00:00
