winner_rank,drafter_label,total_score,slot_index,player_name,team,actual_rs,slot_mult,card_boost,saved_at
1,roolands,59.81,1,Shai Gilgeous-Alexander,OKC,7.3,2.0,0,2026-03-29T00:00:00+00:00
1,roolands,59.81,2,Jaylen Brown,BOS,5.5,1.8,0.4,2026-03-29T00:00:00+00:00
1,roolands,59.81,3,Kon Knueppel,BKN,4.9,1.6,1.1,2026-03-29T00:00:00+00:00
1,roolands,59.81,4,Mark Williams,CHA,3.1,1.4,1.4,2026-03-29T00:00:00+00:00
1,roolands,59.81,5,Andre Drummond,PHI,3.7,1.2,1.8,2026-03-29T00:00:00+00:00
2,maye,59.09,1,Anfernee Simons,BOS,4.0,2.0,1.9,2026-03-29T00:00:00+00:00
2,maye,59.09,2,Jaylen Brown,BOS,5.5,1.8,0.4,2026-03-29T00:00:00+00:00
2,maye,59.09,3,Derrick White,BOS,3.9,1.6,0.9,2026-03-29T00:00:00+00:00
2,maye,59.09,4,Kon Knueppel,BKN,4.9,1.4,1.1,2026-03-29T00:00:00+00:00
2,maye,59.09,5,Dyson Daniels,ATL,3.9,1.2,1.2,2026-03-29T00:00:00+00:00
3,l1amm,58.81,1,Shai Gilgeous-Alexander,OKC,7.3,2.0,0,2026-03-29T00:00:00+00:00
3,l1amm,58.81,2,Jalen Johnson,ATL,5.4,1.8,0.3,2026-03-29T00:00:00+00:00
3,l1amm,58.81,3,Keyonte George,UTA,4.3,1.6,0.6,2026-03-29T00:00:00+00:00
3,l1amm,58.81,4,Ivica Zubac,LAC,5.5,1.4,0.8,2026-03-29T00:00:00+00:00
3,l1amm,58.81,5,Kon Knueppel,BKN,4.9,1.2,1.1,2026-03-29T00:00:00+00:00
4,thekingseth32,58.22,1,Ivica Zubac,LAC,5.5,2.0,0.8,2026-03-29T00:00:00+00:00
4,thekingseth32,58.22,2,Kon Knueppel,BKN,4.9,1.8,1.1,2026-03-29T00:00:00+00:00
4,thekingseth32,58.22,3,Kel'el Ware,MIA,4.1,1.6,1.3,2026-03-29T00:00:00+00:00
4,thekingseth32,58.22,4,Toumani Camara,POR,1.8,1.4,1.7,2026-03-29T00:00:00+00:00
4,thekingseth32,58.22,5,Andre Drummond,PHI,3.7,1.2,1.8,2026-03-29T00:00:00+00:00
5,thatboyjody,58.05,1,Luka Doncic,LAL,4.7,2.0,0,2026-03-29T00:00:00+00:00
5,thatboyjody,58.05,2,Ivica Zubac,LAC,5.5,1.8,0.8,2026-03-29T00:00:00+00:00
5,thatboyjody,58.05,3,Shai Gilgeous-Alexander,OKC,7.3,1.6,0,2026-03-29T00:00:00+00:00
5,thatboyjody,58.05,4,Kon Knueppel,BKN,4.9,1.4,1.1,2026-03-29T00:00:00+00:00
5,thatboyjody,58.05,5,Kel'el Ware,MIA,4.1,1.2,1.3,2026-03-29T00:00:00+00:00
6,gpg1,57.89,1,Donovan Mitchell,CLE,6.3,2.0,0.2,2026-03-29T00:00:00+00:00
6,gpg1,57.89,2,Shai Gilgeous-Alexander,OKC,7.3,1.8,0,2026-03-29T00:00:00+00:00
6,gpg1,57.89,3,Jaylen Brown,BOS,5.5,1.6,0.4,2026-03-29T00:00:00+00:00
6,gpg1,57.89,4,Ivica Zubac,LAC,5.5,1.4,0.8,2026-03-29T00:00:00+00:00
6,gpg1,57.89,5,Keyonte George,UTA,4.3,1.2,0.6,2026-03-29T00:00:00+00:00
7,lamelobettathanant,57.42,1,Shai Gilgeous-Alexander,OKC,7.3,2.0,0,2026-03-29T00:00:00+00:00
7,lamelobettathanant,57.42,2,Kon Knueppel,BKN,4.9,1.8,1.1,2026-03-29T00:00:00+00:00
7,lamelobettathanant,57.42,3,Evan Mobley,CLE,4.2,1.6,0.6,2026-03-29T00:00:00+00:00
7,lamelobettathanant,57.42,4,Ivica Zubac,LAC,5.5,1.4,0.8,2026-03-29T00:00:00+00:00
7,lamelobettathanant,57.42,5,Moussa Diabate,LAC,2.6,1.2,1.6,2026-03-29T00:00:00+00:00
8,1antglazer,57.34,1,Luka Doncic,LAL,4.7,2.0,0,2026-03-29T00:00:00+00:00
8,1antglazer,57.34,2,Jalen Johnson,ATL,5.4,1.8,0.3,2026-03-29T00:00:00+00:00
8,1antglazer,57.34,3,Kon Knueppel,BKN,4.9,1.6,1.1,2026-03-29T00:00:00+00:00
8,1antglazer,57.34,4,Kel'el Ware,MIA,4.1,1.4,1.3,2026-03-29T00:00:00+00:00
8,1antglazer,57.34,5,Anfernee Simons,BOS,4.0,1.2,1.9,2026-03-29T00:00:00+00:00
