winner_rank,drafter_label,total_score,slot_index,player_name,team,actual_rs,slot_mult,card_boost,saved_at
,,,,N. Alexander-Walker,ATL,,,0.9,
,,,,K. Porzingis,GS,,,1.0,
,,,,G. Santos,GS,,,2.5,
,,,,G. Payton II,GS,,,3.0,
,,,,P. Spencer,GS,,,3.0,
,,,,G. Santos,GS,,,2.5,
,,,,G. Payton II,GS,,,3.0,
,,,,N. Alexander-Walker,ATL,,,0.9,
,,,,M. Buzelis,CHI,,,1.3,
,,,,S. Castle,SA,,,0.8,
,,,,M. Buzelis,CHI,,,1.3,
,,,,G. Payton II,GS,,,3.0,
,,,,G. Santos,GS,,,2.5,
,,,,T. Camara,POR,,,1.6,
,,,,N. Marshall,DAL,,,1.3,
,,,,N. Alexander-Walker,ATL,,,0.9,
,,,,G. Santos,GS,,,2.5,
,,,,G. Payton II,GS,,,3.0,
,,,,O. Prosper,MEM,,,3.0,
,,,,L. Miller,CHI,,,3.0,
,,,,N. Alexander-Walker,ATL,,,0.9,
,,,,S. Bey,NO,,,1.1,
,,,,J. Smith Jr.,HOU,,,1.2,
,,,,M. Buzelis,CHI,,,1.3,
,,,,N. Marshall,DAL,,,1.3,
,,,,J. Green,HOU,,,1.4,
,,,,G. Santos,GS,,,2.5,
,,,,G. Payton II,GS,,,3.0,
,,,,J. Miller,LAC,,,2.5,
,,,,L. Miller,CHI,,,3.0,
