winner_rank,drafter_label,total_score,slot_index,player_name,team,actual_rs,slot_mult,card_boost,saved_at
1,sgaismydad,66.24,1,Luka Doncic,DAL,6.7,2.0,0.0,2026-01-12T23:59:00Z
1,sgaismydad,66.24,2,Cooper Flagg,NOP,4.8,1.8,0.8,2026-01-12T23:59:00Z
1,sgaismydad,66.24,3,DeMar DeRozan,SAC,6.0,1.6,0.9,2026-01-12T23:59:00Z
1,sgaismydad,66.24,4,Naji Marshall,DAL,4.6,1.4,1.6,2026-01-12T23:59:00Z
1,sgaismydad,66.24,5,Jay Huff,CLE,3.4,1.2,2.2,2026-01-12T23:59:00Z
2,mxstic30,65.61,1,Naji Marshall,DAL,4.6,2.0,1.6,2026-01-12T23:59:00Z
2,mxstic30,65.61,2,Moussa Diabate,CHA,4.2,1.8,1.8,2026-01-12T23:59:00Z
2,mxstic30,65.61,3,DeMar DeRozan,SAC,6.0,1.6,0.9,2026-01-12T23:59:00Z
2,mxstic30,65.61,4,Cooper Flagg,NOP,4.8,1.4,0.8,2026-01-12T23:59:00Z
2,mxstic30,65.61,5,James Harden,LAC,5.6,1.2,0.3,2026-01-12T23:59:00Z
3,tank4arch,63.70,1,James Harden,LAC,5.6,2.0,0.3,2026-01-12T23:59:00Z
3,tank4arch,63.70,2,Payton Pritchard,BOS,4.1,1.8,0.8,2026-01-12T23:59:00Z
3,tank4arch,63.70,3,DeMar DeRozan,SAC,6.0,1.6,0.9,2026-01-12T23:59:00Z
3,tank4arch,63.70,4,Naji Marshall,DAL,4.6,1.4,1.6,2026-01-12T23:59:00Z
3,tank4arch,63.70,5,Collin Murray-Boyles,SAS,3.0,1.2,2.6,2026-01-12T23:59:00Z
4,broski_,63.19,1,Luka Doncic,DAL,6.7,2.0,0.0,2026-01-12T23:59:00Z
4,broski_,63.19,2,Tyrese Maxey,PHI,5.8,1.8,0.0,2026-01-12T23:59:00Z
4,broski_,63.19,3,Moussa Diabate,CHA,4.2,1.6,1.8,2026-01-12T23:59:00Z
4,broski_,63.19,4,Jay Huff,CLE,3.4,1.4,2.2,2026-01-12T23:59:00Z
4,broski_,63.19,5,Naji Marshall,DAL,4.6,1.2,1.6,2026-01-12T23:59:00Z
5,cadehortonlover,63.10,1,Luka Doncic,DAL,6.7,2.0,0.0,2026-01-12T23:59:00Z
5,cadehortonlover,63.10,2,James Harden,LAC,5.6,1.8,0.3,2026-01-12T23:59:00Z
5,cadehortonlover,63.10,3,Cooper Flagg,NOP,4.8,1.6,0.8,2026-01-12T23:59:00Z
5,cadehortonlover,63.10,4,Naji Marshall,DAL,4.6,1.4,1.6,2026-01-12T23:59:00Z
5,cadehortonlover,63.10,5,Moussa Diabate,CHA,4.2,1.2,1.8,2026-01-12T23:59:00Z
6,uncledrew1125,62.47,1,Naji Marshall,DAL,4.6,2.0,1.6,2026-01-12T23:59:00Z
6,uncledrew1125,62.47,2,Keyonte George,UTA,5.0,1.8,0.5,2026-01-12T23:59:00Z
6,uncledrew1125,62.47,3,Malik Monk,SAC,5.2,1.6,2.2,2026-01-12T23:59:00Z
6,uncledrew1125,62.47,4,Michael Porter Jr.,DEN,3.5,1.4,0.4,2026-01-12T23:59:00Z
6,uncledrew1125,62.47,5,James Harden,LAC,5.6,1.2,0.3,2026-01-12T23:59:00Z
7,robin60m_sometimes,61.98,1,Jamal Shead,HOU,1.2,2.0,2.5,2026-01-12T23:59:00Z
7,robin60m_sometimes,61.98,2,Collin Murray-Boyles,SAS,3.0,1.8,2.6,2026-01-12T23:59:00Z
7,robin60m_sometimes,61.98,3,Naji Marshall,DAL,4.6,1.6,1.6,2026-01-12T23:59:00Z
7,robin60m_sometimes,61.98,4,Klay Thompson,DAL,2.7,1.4,2.7,2026-01-12T23:59:00Z
7,robin60m_sometimes,61.98,5,Malik Monk,SAC,5.2,1.2,2.2,2026-01-12T23:59:00Z
8,birdguy97,61.70,1,Naji Marshall,DAL,4.6,2.0,1.6,2026-01-12T23:59:00Z
8,birdguy97,61.70,2,Cooper Flagg,NOP,4.8,1.8,0.8,2026-01-12T23:59:00Z
8,birdguy97,61.70,3,DeMar DeRozan,SAC,6.0,1.6,0.9,2026-01-12T23:59:00Z
8,birdguy97,61.70,4,James Harden,LAC,5.6,1.4,0.3,2026-01-12T23:59:00Z
8,birdguy97,61.70,5,Russell Westbrook,DEN,3.5,1.2,1.1,2026-01-12T23:59:00Z
