winner_rank,drafter_label,total_score,slot_index,player_name,team,actual_rs,slot_mult,card_boost,saved_at
1,eastsideesai,52.25,1,Shai Gilgeous-Alexander,OKC,3.3,2.0,0.0,2025-12-13T00:00:00
1,eastsideesai,52.25,2,Jalen Brunson,NYK,5.6,1.8,0.3,2025-12-13T00:00:00
1,eastsideesai,52.25,3,OG Anunoby,NYK,3.9,1.6,1.1,2025-12-13T00:00:00
1,eastsideesai,52.25,4,Jalen Suggs,ORL,4.1,1.4,1.2,2025-12-13T00:00:00
1,eastsideesai,52.25,5,Alex Caruso,OKC,3.1,1.2,3.0,2025-12-13T00:00:00
2,ngagnon2,51.88,1,Jalen Brunson,NYK,5.6,2.0,0.3,2025-12-13T00:00:00
2,ngagnon2,51.88,2,Karl-Anthony Towns,NYK,5.1,1.8,0.5,2025-12-13T00:00:00
2,ngagnon2,51.88,3,Devin Vassell,SAS,3.4,1.6,1.3,2025-12-13T00:00:00
2,ngagnon2,51.88,4,OG Anunoby,NYK,3.9,1.4,1.1,2025-12-13T00:00:00
2,ngagnon2,51.88,5,Wendell Carter Jr.,ORL,2.8,1.2,1.6,2025-12-13T00:00:00
3,yankeecap_,51.65,1,Alex Caruso,OKC,3.1,2.0,3.0,2025-12-13T00:00:00
3,yankeecap_,51.65,2,Jalen Williams,OKC,2.9,1.8,0.7,2025-12-13T00:00:00
3,yankeecap_,51.65,3,Jalen Brunson,NYK,5.6,1.6,0.3,2025-12-13T00:00:00
3,yankeecap_,51.65,4,Karl-Anthony Towns,NYK,5.1,1.4,0.5,2025-12-13T00:00:00
3,yankeecap_,51.65,5,OG Anunoby,NYK,3.9,1.2,1.1,2025-12-13T00:00:00
4,erenkujo,50.90,1,Jalen Brunson,NYK,5.6,2.0,0.3,2025-12-13T00:00:00
4,erenkujo,50.90,2,Alex Caruso,OKC,3.1,1.8,3.0,2025-12-13T00:00:00
4,erenkujo,50.90,3,Desmond Bane,MEM,3.1,1.6,0.9,2025-12-13T00:00:00
4,erenkujo,50.90,4,Karl-Anthony Towns,NYK,5.1,1.4,0.5,2025-12-13T00:00:00
4,erenkujo,50.90,5,Josh Hart,NYK,2.8,1.2,1.0,2025-12-13T00:00:00
5,jdrizzyy,50.55,1,Jalen Brunson,NYK,5.6,2.0,0.3,2025-12-13T00:00:00
5,jdrizzyy,50.55,2,Jaylin Williams,OKC,0.9,1.8,3.0,2025-12-13T00:00:00
5,jdrizzyy,50.55,3,Jalen Suggs,ORL,4.1,1.6,1.2,2025-12-13T00:00:00
5,jdrizzyy,50.55,4,Mitchell Robinson,NYK,2.3,1.4,2.6,2025-12-13T00:00:00
5,jdrizzyy,50.55,5,Alex Caruso,OKC,3.1,1.2,3.0,2025-12-13T00:00:00
6,coxy214,50.54,1,Jalen Brunson,NYK,5.6,2.0,0.3,2025-12-13T00:00:00
6,coxy214,50.54,2,Karl-Anthony Towns,NYK,5.1,1.8,0.5,2025-12-13T00:00:00
6,coxy214,50.54,3,Paolo Banchero,ORL,2.8,1.6,0.9,2025-12-13T00:00:00
6,coxy214,50.54,4,Jalen Suggs,ORL,4.1,1.4,1.2,2025-12-13T00:00:00
6,coxy214,50.54,5,Devin Vassell,SAS,3.4,1.2,1.3,2025-12-13T00:00:00
7,jtthree,50.46,1,Shai Gilgeous-Alexander,OKC,3.3,2.0,0.0,2025-12-13T00:00:00
7,jtthree,50.46,2,OG Anunoby,NYK,3.9,1.8,1.1,2025-12-13T00:00:00
7,jtthree,50.46,3,Jalen Suggs,ORL,4.1,1.6,1.2,2025-12-13T00:00:00
7,jtthree,50.46,4,Wendell Carter Jr.,ORL,2.8,1.4,1.6,2025-12-13T00:00:00
7,jtthree,50.46,5,Alex Caruso,OKC,3.1,1.2,3.0,2025-12-13T00:00:00
8,km25,50.16,1,Jalen Brunson,NYK,5.6,2.0,0.3,2025-12-13T00:00:00
8,km25,50.16,2,Karl-Anthony Towns,NYK,5.1,1.8,0.5,2025-12-13T00:00:00
8,km25,50.16,3,Josh Hart,NYK,2.8,1.6,1.0,2025-12-13T00:00:00
8,km25,50.16,4,OG Anunoby,NYK,3.9,1.4,1.1,2025-12-13T00:00:00
8,km25,50.16,5,Mitchell Robinson,NYK,2.3,1.2,2.6,2025-12-13T00:00:00
