player,team,draft_count,slot_position,source
Luke Kennard,LAL,4500,3rd,most_drafted_3x
Will Riley,WSH,3300,1st,most_drafted_3x
Leonard Miller,CHI,2700,2nd,most_drafted_3x
Ben Saraf,BKN,1600,4th,most_drafted_3x
E.J. Liddell,NO,1000,4th,most_drafted_3x
