player,team,draft_count,slot_position,source
Kawhi Leonard,LAC,3900,4th,most_drafted_3x
Cooper Flagg,CHA,3400,5th,most_drafted_3x
Jarrett Allen,MIA,1400,5th,most_drafted_3x
Dyson Daniels,LAL,419,5th,most_drafted_3x
Dylan Harper,NYK,149,5th,most_drafted_3x
