player_name,team,drafts,actual_rs,actual_card_boost,min_boost
Cody Williams,,2600,1.7,3.0,3.0
Bones Hyland,,1700,2.1,3.0,3.0
Leonard Miller,,1300,1.5,3.0,3.0
Gary Payton II,,937,3.5,3.0,3.0
Jared McCain,,602,4.1,3.0,3.0
