player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Jaylen Wells,MEM,999,1.8,3.0,4,1,2026-03-26T03:04:47.496398+00:00
Kobe Sanders,LAC,411,0.1,3.0,5,2,2026-03-26T03:04:47.496398+00:00
Precious Achiuwa,SAC,370,0.6,3.0,5,3,2026-03-26T03:04:47.496398+00:00
Jared McCain,PHI,139,0.9,3.0,5,4,2026-03-26T03:04:47.496398+00:00
Jeremy Sochan,SAS,106,2.4,3.0,5,5,2026-03-26T03:04:47.496398+00:00
