player,team,draft_count,slot_position,source
Jared McCain,PHI,1200,5th,most_drafted_3x
Will Richard,GSW,762,5th,most_drafted_3x
Buddy Hield,GSW,752,5th,most_drafted_3x
Jaylin Williams,OKC,746,5th,most_drafted_3x
Gary Payton II,GSW,639,5th,most_drafted_3x
