player,team,draft_count,slot_position,source
Kawhi Leonard,LAC,3000,4th,most_drafted_3x
Cooper Flagg,MEM,3400,5th,most_drafted_3x
Jarrett Allen,CLE,1600,5th,most_drafted_3x
Evan Bouchard,EDM,411,5th,most_drafted_3x
OG Anunoby,TOR,149,5th,most_drafted_3x
