player,team,draft_count,slot_position,source
Will Riley,WAS,2900,3rd,most_drafted_3x
Ousmane Dieng,OKC,1700,3rd,most_drafted_3x
Kobe Brown,IND,1400,4th,most_drafted_3x
Luke Kennard,LAL,1400,5th,most_drafted_3x
Taylor Hendricks,MEM,617,4th,most_drafted_3x
