player,team,draft_count,slot_position,source
Ousmane Dieng,,2100,4th,most_drafted_3x
Walter Clayton Jr.,MEM,1400,5th,most_drafted_3x
Lucas Williamson,,1200,5th,most_drafted_3x
Jericho Sims,,806,3rd,most_drafted_3x
Keon Ellis,CLE,522,5th,most_drafted_3x
