player,team,draft_count,slot_position,source
Luke Kennard,LAL,240,5th,most_drafted_3x
Jared McCain,OKC,211,5th,most_drafted_3x
Kris Murray,POR,89,5th,most_drafted_3x
L.J. Cryer,GS,82,5th,most_drafted_3x
Keon Ellis,CLE,80,5th,most_drafted_3x
