player,team,draft_count,slot_position,source
Brady Hield,IND,935,5th,most_drafted_3x
Devin Paul,DEN,603,5th,most_drafted_3x
AJ Hoford,DEN,498,5th,most_drafted_3x
Brook Lopez,MIL,446,5th,most_drafted_3x
Bob Carrington,LAC,303,5th,most_drafted_3x
