player,team,draft_count,slot_position,source
Ousmane Dieng,OKC,4200,1st,most_drafted_3x
Will Riley,WAS,3400,3rd,most_drafted_3x
Luke Kennard,LAL,2500,5th,most_drafted_3x
Leonard Miller,,2400,5th,most_drafted_3x
Kobe Brown,,1300,4th,most_drafted_3x
