player,team,draft_count,slot_position,source
Klay Thompson,GSW,797,5th,most_drafted_3x
Dwight Powell,DAL,640,5th,most_drafted_3x
Nate Marshall,HOU,451,5th,most_drafted_3x
Brandon Williams,LAL,398,5th,most_drafted_3x
Quinton Jackson,NYK,233,3rd,most_drafted_3x
