player,team,draft_count,slot_position,source
Aaron Wiggins,GS,5400,5th,most_drafted_3x
Al Horford,PHO,2800,5th,most_drafted_3x
Jaylin Williams,CHR,1700,5th,most_drafted_3x
Gary Payton II,PHO,1600,5th,most_drafted_3x
Quinten Post,UTA,1100,5th,most_drafted_3x
