player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Kasparas Jakucionis,CHI,708,0.3,3.0,5,1,2025-12-21T00:00:00+00:00
Tristan Vukcevic,WAS,563,3.4,3.0,4,2,2025-12-21T00:00:00+00:00
Justin Champagnie,TOR,397,0.8,3.0,5,3,2025-12-21T00:00:00+00:00
Will Riley,CHI,322,1.0,3.0,5,4,2025-12-21T00:00:00+00:00
Josh Okogie,ATL,263,1.0,3.0,5,5,2025-12-21T00:00:00+00:00
