player_name,team,drafts,actual_rs,actual_card_boost,min_boost
Cody Williams,,2400,4.0,3.0,3.0
Justin Edwards,,2000,5.3,3.0,3.0
Will Riley,,2000,1.4,3.0,3.0
Ousmane Dieng,,946,1.9,3.0,3.0
Leonard Miller,,358,1.3,3.0,3.0
