player_name,team,drafts,actual_rs,actual_card_boost,min_boost
Leonard Miller,,1900,2.7,3.0,3.0
Olivier-Maxence Prosper,,1500,1.7,3.0,3.0
Gary Payton II,,1000,2.9,3.0,3.0
Tristan Vukccevic,,919,1.1,3.0,3.0
Taylor Hendricks,,539,2.1,3.0,3.0
