player,team,draft_count,slot_position,source
Jaxson Hayes,LAL,1700,5th,most_drafted_3x
Will Riley,WSH,937,5th,most_drafted_3x
Cody Williams,UTAH,824,5th,most_drafted_3x
Taylor Hendricks,MEM,410,4th,most_drafted_3x
Luke Kennard,LAL,368,5th,most_drafted_3x
