player,team,draft_count,slot_position,source
Will Riley,WAS,2300,5th,most_drafted_3x
Anthony Gill,WAS,998,5th,most_drafted_3x
Ron Holland II,DET,720,5th,most_drafted_3x
Javonte Green,DET,652,5th,most_drafted_3x
Caris LeVert,DET,538,5th,most_drafted_3x
