player,team,draft_count,slot_position,source
Jaylen Tyson,GSW,317,4th,most_drafted_3x
Donovan,DEN,305,5th,most_drafted_3x
Dalton Knecht,POR,203,5th,most_drafted_3x
Peyton Watson,DEN,145,5th,most_drafted_3x
Luke Kennard,PHX,143,5th,most_drafted_3x
