player,team,draft_count,slot_position,source
Anthony Black,MEM,1300,5th,most_drafted_3x
Bobby Portis,MIL,794,3rd,most_drafted_3x
Pelle Larsson,PHX,727,4th,most_drafted_3x
Kyle Kuzma,WAS,206,5th,most_drafted_3x
Cole Williams,DEN,199,5th,most_drafted_3x
