player,team,draft_count,slot_position,source
Ousmane Dieng,OKC,2900,3rd,most_drafted_3x
Cody Williams,UTAH,2300,4th,most_drafted_3x
Kobe Brown,WSH,1700,5th,most_drafted_3x
Devin Carter,SAC,1500,5th,most_drafted_3x
Ethan Thompson,SAC,437,3rd,most_drafted_3x
