player,team,draft_count,slot_position,source
Aaron Nesmith,BOS,366,5th,most_drafted_3x
Gabe Vincent,CHI,331,5th,most_drafted_3x
Rudy Gobert,MIN,319,5th,most_drafted_3x
Russell Westbrook,LAL,241,5th,most_drafted_3x
Naz Reid,MIN,211,5th,most_drafted_3x
