player,team,draft_count,slot_position,source
Spencer Jones,DEN,1800,5th,most_drafted_3x
Mouhamed Gueye,ATL,680,5th,most_drafted_3x
Danny Wolf,BKN,120,5th,most_drafted_3x
Gary Trent Jr.,MIL,70,5th,most_drafted_3x
Jaden Ivey,DET,54,5th,most_drafted_3x
