player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Luka Doncic,LAL,11600,4.0,,1,1,2026-01-07T18:00:00+00:00
Anthony Edwards,MIN,9700,3.8,0.3,2,2,2026-01-07T18:00:00+00:00
Cooper Flagg,DAL,9600,4.2,0.8,3,3,2026-01-07T18:00:00+00:00
Anthony Black,ORL,6900,0.9,1.2,2,4,2026-01-07T18:00:00+00:00
De'Aaron Fox,SAC,4000,2.9,0.5,3,5,2026-01-07T18:00:00+00:00
Paolo Banchero,ORL,3900,1.6,0.7,4,6,2026-01-07T18:00:00+00:00
Norman Powell,LAC,3900,2.7,0.6,3,7,2026-01-07T18:00:00+00:00
Russell Westbrook,DEN,3800,1.9,1.0,3,8,2026-01-07T18:00:00+00:00
Pascal Siakam,IND,3300,2.9,0.5,3,9,2026-01-07T18:00:00+00:00
Evan Mobley,CLE,2900,3.1,0.6,3,10,2026-01-07T18:00:00+00:00
Desmond Bane,MEM,2800,1.5,0.8,4,11,2026-01-07T18:00:00+00:00
DeMar DeRozan,SAC,2500,3.5,0.9,3,12,2026-01-07T18:00:00+00:00
Stephon Castle,SAS,2400,2.3,0.8,5,13,2026-01-07T18:00:00+00:00
Jake LaRavia,MEM,2400,1.2,1.9,3,14,2026-01-07T18:00:00+00:00
