player_name,team,drafts,actual_rs,actual_card_boost
Luka Doncic,,10800,5.0,0.0
Victor Wembanyama,,10300,3.7,0.2
Kevin Durant,,5300,1.3,0.5
Cooper Flagg,,4200,3.3,0.7
Jaylen Brown,,4100,5.6,0.3
Jalen Johnson,,4000,5.7,0.3
Gui Santos,,3800,3.4,2.5
Devin Booker,,3600,5.5,0.5
Paolo Banchero,,2800,2.5,0.6
Desmond Bane,,2300,2.3,0.7
Stephon Castle,,2200,3.7,0.8
Amen Thompson,,2200,3.4,0.6
Trey Murphy III,,2100,3.6,0.6
De'Aaron Fox,,2100,2.9,0.6
Donovan Clingan,,2000,2.4,0.9
Brandin Podziemski,,2000,1.6,1.3
Austin Reaves,,1900,3.1,0.5
