player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokic,DEN,10400,4.1,,1,1,2026-03-26T03:19:33.324128+00:00
Jaylen Brown,BOS,5600,4.3,0.3,2,2,2026-03-26T03:19:33.324128+00:00
Jalen Johnson,ATL,4800,2.0,0.2,2,3,2026-03-26T03:19:33.324128+00:00
Jalen Brunson,NYK,4600,2.8,0.3,2,4,2026-03-26T03:19:33.324128+00:00
Kevin Durant,HOU,4200,5.0,0.5,3,5,2026-03-26T03:19:33.324128+00:00
Julius Randle,MIN,3200,2.2,0.6,4,6,2026-03-26T03:19:33.324128+00:00
Jamal Murray,DEN,3100,4.8,0.2,2,7,2026-03-26T03:19:33.324128+00:00
Nickeil Alexander-Walker,ATL,3000,2.4,0.8,2,8,2026-03-26T03:19:33.324128+00:00
Scottie Barnes,TOR,2900,3.8,0.5,3,9,2026-03-26T03:19:33.324128+00:00
Brandon Ingram,TOR,2800,2.1,0.7,4,10,2026-03-26T03:19:33.324128+00:00
Daniss Jenkins,DET,2800,3.6,2.7,3,11,2026-03-26T03:19:33.324128+00:00
Gui Santos,GSW,2700,1.6,2.4,2,12,2026-03-26T03:19:33.324128+00:00
Jalen Duren,DET,2700,3.0,0.6,4,13,2026-03-26T03:19:33.324128+00:00
Gary Payton II,GSW,2500,2.1,3.0,5,14,2026-03-26T03:19:33.324128+00:00
Deni Avdija,POR,2500,3.5,0.4,3,15,2026-03-26T03:19:33.324128+00:00
Bones Hyland,MIN,2300,1.8,3.0,4,16,2026-03-26T03:19:33.324128+00:00
Amen Thompson,HOU,2100,2.8,0.6,3,17,2026-03-26T03:19:33.324128+00:00
