player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Luka Doncic,LAL,12200,4.7,,1,1,2026-03-29T00:00:00+00:00
Shai Gilgeous-Alexander,OKC,10100,7.3,,1,2,2026-03-29T00:00:00+00:00
Tyrese Maxey,PHI,5500,3.5,,1,3,2026-03-29T00:00:00+00:00
James Harden,CLE,5400,2.4,0.1,2,4,2026-03-29T00:00:00+00:00
Lauri Markkanen,UTA,4600,2.9,0.3,2,5,2026-03-29T00:00:00+00:00
Donovan Mitchell,CLE,4400,6.3,0.2,4,6,2026-03-29T00:00:00+00:00
Devin Booker,PHX,4000,3.8,0.4,3,7,2026-03-29T00:00:00+00:00
Deni Avdija,POR,3300,1.2,0.5,3,8,2026-03-29T00:00:00+00:00
Jalen Johnson,ATL,3200,5.4,0.3,2,9,2026-03-29T00:00:00+00:00
Franz Wagner,ORL,3000,2.5,0.5,3,10,2026-03-29T00:00:00+00:00
Kon Knueppel,BKN,2900,4.9,1.1,5,11,2026-03-29T00:00:00+00:00
Michael Porter Jr,DEN,2800,3.4,0.5,3,12,2026-03-29T00:00:00+00:00
Jaylen Brown,BOS,2700,5.5,0.4,3,13,2026-03-29T00:00:00+00:00
Austin Reaves,LAL,2600,3.0,0.2,2,14,2026-03-29T00:00:00+00:00
