player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Anthony Edwards,MIN,9200,6.2,0.4,1,1,2025-12-08T00:00:00+00:00
De'Aaron Fox,SAC,8500,2.5,0.3,1,2,2025-12-08T00:00:00+00:00
Pascal Siakam,IND,7800,3.2,0.5,2,3,2025-12-08T00:00:00+00:00
Zach LaVine,SAC,5600,1.2,1.1,1,4,2025-12-08T00:00:00+00:00
Julius Randle,MIN,5100,3.5,0.4,2,5,2025-12-08T00:00:00+00:00
Derik Queen,NOP,5000,5.8,1.6,4,6,2025-12-08T00:00:00+00:00
Trey Murphy III,NOP,4600,4.0,0.7,2,7,2025-12-08T00:00:00+00:00
Russell Westbrook,SAC,4300,5.4,1.1,4,8,2025-12-08T00:00:00+00:00
Collin Gillespie,SAC,4200,2.9,1.2,2,9,2025-12-08T00:00:00+00:00
Jeremiah Fears,OKC,4000,1.0,1.7,4,10,2025-12-08T00:00:00+00:00
Jay Huff,IND,3900,2.7,2.2,4,11,2025-12-08T00:00:00+00:00
Saddiq Bey,ATL,3400,2.8,1.5,3,12,2025-12-08T00:00:00+00:00
Devin Vassell,SAS,3300,1.2,1.2,2,13,2025-12-08T00:00:00+00:00
DeMar DeRozan,SAC,3100,2.8,1.0,1,14,2025-12-08T00:00:00+00:00
