player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Luka Doncic,LAL,32700,7.0,0,1,1,2026-03-28T00:00:00+00:00
Stephen Curry,GSW,30100,3.7,0,3,2,2026-03-28T00:00:00+00:00
Shai Gilgeous-Alexander,OKC,27200,5.7,0,1,3,2026-03-28T00:00:00+00:00
Kevin Durant,OKC,24500,2.6,0,4,4,2026-03-28T00:00:00+00:00
Alperen Sengun,HOU,13000,6.2,0,5,5,2026-03-28T00:00:00+00:00
Austin Reaves,LAL,11500,3.8,0,5,6,2026-03-28T00:00:00+00:00
Jimmy Butler III,HOU,10200,4.2,0,5,7,2026-03-28T00:00:00+00:00
Amen Thompson,HOU,9700,2.7,0,5,8,2026-03-28T00:00:00+00:00
Deandre Ayton,LAL,3500,1.0,0,5,9,2026-03-28T00:00:00+00:00
Chet Holmgren,OKC,2800,4.3,0,5,10,2026-03-28T00:00:00+00:00
