player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokic,DEN,10600,3.9,0.0,1,1,2026-04-01T12:00:00+00:00
Victor Wembanyama,SAS,10500,7.5,0.2,2,2,2026-04-01T12:00:00+00:00
Jaylen Brown,BOS,4300,7.6,0.3,3,3,2026-04-01T12:00:00+00:00
Tyrese Maxey,PHI,4100,4.9,0.1,2,4,2026-04-01T12:00:00+00:00
Kevin Durant,PHX,4100,3.7,0.5,3,5,2026-04-01T12:00:00+00:00
Jamal Murray,DEN,3600,6.2,0.2,2,6,2026-04-01T12:00:00+00:00
Jalen Johnson,ATL,3400,3.7,0.3,3,7,2026-04-01T12:00:00+00:00
Cody Williams,SAC,2800,2.0,3.0,3,8,2026-04-01T12:00:00+00:00
Nickeil Alexander-Walker,MIN,2700,5.4,0.8,5,9,2026-04-01T12:00:00+00:00
Stephon Castle,SAS,2400,3.7,0.7,4,10,2026-04-01T12:00:00+00:00
Karl-Anthony Towns,NYK,2400,4.0,0.6,4,11,2026-04-01T12:00:00+00:00
Alperen Sengun,HOU,2100,5.1,0.4,3,12,2026-04-01T12:00:00+00:00
Bam Adebayo,MIA,2000,3.9,0.5,4,13,2026-04-01T12:00:00+00:00
Paolo Banchero,ORL,2000,1.5,0.6,4,14,2026-04-01T12:00:00+00:00
Brandin Podziemski,GSW,2000,2.5,1.3,5,15,2026-04-01T12:00:00+00:00
Jalen Brunson,NYK,1800,0.0,0.4,3,16,2026-04-01T12:00:00+00:00
Payton Pritchard,BOS,1800,3.3,0.8,2,17,2026-04-01T12:00:00+00:00
