player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Victor Wembanyama,SAS,8900,7.4,0.2,1,1,2026-03-31T00:00:00+00:00
Shai Gilgeous-Alexander,OKC,8000,6.0,,1,2,2026-03-31T00:00:00+00:00
Cooper Flagg,DAL,5800,1.3,0.7,3,3,2026-03-31T00:00:00+00:00
Tyrese Maxey,PHI,4300,3.8,0.1,1,4,2026-03-31T00:00:00+00:00
Austin Reaves,LAL,4200,2.6,0.5,1,5,2026-03-31T00:00:00+00:00
Jalen Johnson,ATL,4000,3.1,0.3,2,6,2026-03-31T00:00:00+00:00
Daniss Jenkins,DET,3800,2.2,2.3,3,7,2026-03-31T00:00:00+00:00
Donovan Mitchell,CLE,3700,5.0,0.3,2,8,2026-03-31T00:00:00+00:00
James Harden,CLE,3600,4.4,0.3,2,9,2026-03-31T00:00:00+00:00
Devin Booker,PHX,3600,6.9,0.5,3,10,2026-03-31T00:00:00+00:00
Nickeil Alexander-Walker,ATL,3200,3.0,0.8,2,11,2026-03-31T00:00:00+00:00
LeBron James,LAL,3100,5.0,0.5,3,12,2026-03-31T00:00:00+00:00
Payton Pritchard,BOS,2400,1.8,0.8,2,13,2026-03-31T00:00:00+00:00
Jaylen Brown,BOS,2300,3.7,0.3,2,14,2026-03-31T00:00:00+00:00
