player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Luka Doncic,DAL,11600,5.0,0.0,1,1,2025-12-28T23:59:00Z
Cade Cunningham,DET,8400,3.7,0.2,2,2,2025-12-28T23:59:00Z
Shai Gilgeous-Alexander,OKC,7700,4.7,0.0,1,3,2025-12-28T23:59:00Z
Jaylen Brown,BOS,5700,4.3,0.3,2,4,2025-12-28T23:59:00Z
Russell Westbrook,DEN,4800,1.4,1.0,3,5,2025-12-28T23:59:00Z
Stephen Curry,GSW,4600,4.9,0.2,2,6,2025-12-28T23:59:00Z
James Harden,LAC,4100,3.9,0.2,2,7,2025-12-28T23:59:00Z
Tyrese Maxey,PHI,4100,4.6,0.1,3,8,2025-12-28T23:59:00Z
Jalen Duren,DET,3400,3.7,0.7,3,9,2025-12-28T23:59:00Z
Deni Avdija,POR,3400,4.6,0.4,3,10,2025-12-28T23:59:00Z
Maxime Raynaud,SAC,3200,2.2,2.4,4,11,2025-12-28T23:59:00Z
Brook Lopez,MIL,3000,1.7,3.0,5,12,2025-12-28T23:59:00Z
Kawhi Leonard,LAC,2400,10.8,0.3,5,13,2025-12-28T23:59:00Z
DeMar DeRozan,SAC,2300,2.8,0.9,4,14,2025-12-28T23:59:00Z
