player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokic,DEN,25900,5.7,0.0,1,1,2026-03-28T00:00:00+00:00
Stephen Curry,GSW,24600,7.1,0.5,3,2,2026-03-28T00:00:00+00:00
Shai Gilgeous-Alexander,OKC,21900,7.2,0.0,2,3,2026-03-28T00:00:00+00:00
Jimmy Butler III,OKC,15500,4.6,0.3,3,4,2026-03-28T00:00:00+00:00
Chet Holmgren,OKC,11300,2.5,0.2,4,5,2026-03-28T00:00:00+00:00
Pascal Siakam,IND,7900,5.3,0.0,5,6,2026-03-28T00:00:00+00:00
Buddy Hield,IND,6500,1.5,1.9,5,7,2026-03-28T00:00:00+00:00
Brandin Podziemski,GSW,6300,1.6,2.4,5,8,2026-03-28T00:00:00+00:00
Jonathan Kuminga,GSW,6000,2.3,0.7,4,9,2026-03-28T00:00:00+00:00
Aaron Wiggins,OKC,5400,3.0,3.0,5,10,2026-03-28T00:00:00+00:00
Isaiah Hartenstein,OKC,5000,1.3,1.3,5,11,2026-03-28T00:00:00+00:00
Jamal Murray,DEN,4200,4.7,0.0,5,12,2026-03-28T00:00:00+00:00
Draymond Green,GSW,3600,3.4,1.1,5,13,2026-03-28T00:00:00+00:00
Al Horford,OKC,2800,2.0,3.0,5,14,2026-03-28T00:00:00+00:00
