player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokic,DEN,12600,7.5,0.0,1,1,2026-03-28T12:00:00.000000+00:00
Giannis Antetokounmpo,MIL,10600,7.1,0.0,1,2,2026-03-28T12:00:00.000000+00:00
Cade Cunningham,DET,8100,4.9,0.5,3,3,2026-03-28T12:00:00.000000+00:00
Jake LaRavia,LAL,5700,2.7,1.1,1,4,2026-03-28T12:00:00.000000+00:00
Luka Doncic,LAL,5300,0.0,0.0,1,5,2026-03-28T12:00:00.000000+00:00
Jalen Brunson,NY,4800,3.1,0.2,3,6,2026-03-28T12:00:00.000000+00:00
Jaylen Brown,BOS,4300,4.2,0.5,3,7,2026-03-28T12:00:00.000000+00:00
Alperen Sengun,HOU,4000,3.9,0.2,2,8,2026-03-28T12:00:00.000000+00:00
Kawhi Leonard,LAC,3700,5.0,0.3,2,9,2026-03-28T12:00:00.000000+00:00
Kevin Durant,PHX,3500,2.9,0.5,4,10,2026-03-28T12:00:00.000000+00:00
Lauri Markkanen,UTAH,3300,2.6,0.2,2,11,2026-03-28T12:00:00.000000+00:00
Bam Adebayo,MIA,3100,4.4,0.6,4,12,2026-03-28T12:00:00.000000+00:00
Karl-Anthony Towns,NY,2800,5.7,0.9,3,13,2026-03-28T12:00:00.000000+00:00
Domantas Sabonis,SAC,2500,3.1,0.9,4,14,2026-03-28T12:00:00.000000+00:00
