player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Khris Middleton,DAL,2,5.8,2.3,,1,2026-03-18T05:03:38.821274+00:00
Tristan da Silva,ORL,36,4.6,2.6,,2,2026-03-18T05:03:38.821274+00:00
Luka Dončić,LAL,2900,9.3,,,3,2026-03-18T05:03:38.821274+00:00
Jalen Green,PHX,863,4.9,1.8,,4,2026-03-18T05:03:38.821274+00:00
Pelle Larsson,MIA,12,4.6,2.0,,5,2026-03-18T05:03:38.821274+00:00
Zaccharie Risacher,ATL,2,3.9,2.4,,6,2026-03-18T05:03:38.821274+00:00
Devin Booker,PHX,152,6.7,0.5,,7,2026-03-18T05:03:38.821274+00:00
Spencer Jones,DEN,3,3.7,3.0,,8,2026-03-18T05:03:38.821274+00:00
Josh Minott,BKN,2,3.8,3.0,,9,2026-03-18T05:03:38.821274+00:00
Kasparas Jakucionis,MIA,1,3.2,3.0,,10,2026-03-18T05:03:38.821274+00:00
Justin Edwards,PHI,2,3.1,3.0,,11,2026-03-18T05:03:38.821274+00:00
Taylor Hendricks,MEM,13,3.1,3.0,,12,2026-03-18T05:03:38.821274+00:00
Daniel Gafford,DAL,8,3.6,2.2,,13,2026-03-18T05:03:38.821274+00:00
