player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokic,DEN,11400,5.5,0.0,1,1,2025-12-05T00:00:00+00:00
Shai Gilgeous-Alexander,OKC,9900,5.3,0.0,1,2,2025-12-05T00:00:00+00:00
Austin Reaves,LAL,7200,3.9,0.2,1,3,2025-12-05T00:00:00+00:00
Tyrese Maxey,PHI,6000,3.0,0.0,3,4,2025-12-05T00:00:00+00:00
Cade Cunningham,DET,5700,5.5,0.2,2,5,2025-12-05T00:00:00+00:00
Donovan Mitchell,CLE,3400,3.9,0.1,4,6,2025-12-05T00:00:00+00:00
James Harden,LAC,3300,3.0,0.2,2,7,2025-12-05T00:00:00+00:00
Deni Avdija,POR,3100,5.4,0.4,3,8,2025-12-05T00:00:00+00:00
Josh Giddey,CHI,2900,1.5,0.3,2,9,2025-12-05T00:00:00+00:00
Cooper Flagg,DAL,2800,1.3,1.0,5,10,2025-12-05T00:00:00+00:00
Scottie Barnes,TOR,2600,2.3,0.4,3,11,2025-12-05T00:00:00+00:00
Lauri Markkanen,UTA,2200,2.6,0.4,3,12,2025-12-05T00:00:00+00:00
Jaylen Brown,BOS,2100,5.2,0.3,2,13,2025-12-05T00:00:00+00:00
Jamal Murray,DEN,2100,4.4,0.2,2,14,2025-12-05T00:00:00+00:00
