player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Cade Cunningham,DET,8200,4.7,0.2,1,1,2025-12-06T00:00:00+00:00
Anthony Edwards,MIN,7900,2.0,0.3,1,2,2025-12-06T00:00:00+00:00
Jalen Johnson,ATL,7000,6.1,0.2,1,3,2025-12-06T00:00:00+00:00
Donovan Mitchell,CLE,6300,3.4,0.2,1,4,2025-12-06T00:00:00+00:00
James Harden,LAC,5000,5.3,0.2,1,5,2025-12-06T00:00:00+00:00
Kevin Durant,HOU,4900,3.0,0.6,4,6,2025-12-06T00:00:00+00:00
Cooper Flagg,DAL,3900,3.5,1.1,5,7,2025-12-06T00:00:00+00:00
Jalen Duren,DET,3100,3.0,0.7,2,8,2025-12-06T00:00:00+00:00
Michael Porter Jr.,DEN,3000,5.8,0.5,3,9,2025-12-06T00:00:00+00:00
Nickeil Alexander-Walker,PHI,2700,2.5,0.9,3,10,2025-12-06T00:00:00+00:00
Ryan Rollins,ATL,2600,2.3,0.8,3,11,2025-12-06T00:00:00+00:00
Evan Mobley,CLE,2300,2.8,0.6,3,12,2025-12-06T00:00:00+00:00
Amen Thompson,HOU,2200,2.0,0.7,4,13,2025-12-06T00:00:00+00:00
Dyson Daniels,ATL,2000,1.6,1.1,1,14,2025-12-06T00:00:00+00:00
