player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Cade Cunningham,DET,8100,6.1,0.2,1,1,2025-12-26T00:00:00+00:00
Tyrese Maxey,PHI,6100,4.3,0.1,1,2,2025-12-26T00:00:00+00:00
Jalen Johnson,ATL,5700,4.1,0.2,1,3,2025-12-26T00:00:00+00:00
Jaylen Brown,BOS,5400,4.4,0.3,1,4,2025-12-26T00:00:00+00:00
Josh Giddey,CHI,4200,2.7,0.4,2,5,2025-12-26T00:00:00+00:00
James Harden,LAC,4100,4.7,0.2,2,6,2025-12-26T00:00:00+00:00
Devin Booker,PHX,3800,4.5,0.5,3,7,2025-12-26T00:00:00+00:00
Deni Avdija,POR,3400,4.4,0.4,3,8,2025-12-26T00:00:00+00:00
Jalen Duren,DET,3300,1.0,0.7,4,9,2025-12-26T00:00:00+00:00
Derik Queen,HOU,3100,1.1,1.3,2,10,2025-12-26T00:00:00+00:00
Kon Knueppel,BKN,3000,2.0,0.9,5,11,2025-12-26T00:00:00+00:00
Keyonte George,UTA,2700,6.6,0.5,3,12,2025-12-26T00:00:00+00:00
Lauri Markkanen,UTA,2600,3.7,0.4,3,13,2025-12-26T00:00:00+00:00
Brandon Ingram,NO,2200,3.7,0.8,4,14,2025-12-26T00:00:00+00:00
