player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokic,DEN,12400,4.5,0.0,1,1,2025-12-18T00:00:00+00:00
Luka Doncic,LAL,10200,8.2,0.0,1,2,2025-12-18T00:00:00+00:00
Shai Gilgeous-Alexander,OKC,8100,5.6,0.0,1,3,2025-12-18T00:00:00+00:00
Cade Cunningham,DET,6000,4.0,0.2,2,4,2025-12-18T00:00:00+00:00
Stephen Curry,GSW,4300,3.0,0.1,4,5,2025-12-18T00:00:00+00:00
Jalen Johnson,ATL,4100,6.2,0.2,2,6,2025-12-18T00:00:00+00:00
Jalen Brunson,NYK,3600,4.7,0.3,2,7,2025-12-18T00:00:00+00:00
Cooper Flagg,DAL,3500,4.8,0.9,5,8,2025-12-18T00:00:00+00:00
Deni Avdija,POR,3200,5.0,0.4,3,9,2025-12-18T00:00:00+00:00
Keyonte George,UTA,3000,5.1,0.5,3,10,2025-12-18T00:00:00+00:00
Alperen Sengun,HOU,2900,5.7,0.3,4,11,2025-12-18T00:00:00+00:00
Devin Booker,PHX,2900,2.4,0.5,3,12,2025-12-18T00:00:00+00:00
Jamal Murray,DEN,2100,5.1,0.2,2,13,2025-12-18T00:00:00+00:00
Kon Knueppel,BOS,2100,5.6,1.0,5,14,2025-12-18T00:00:00+00:00
