player_name,team,drafts,actual_rs,actual_card_boost
Nikola Jokic,,10500,6.4,0.0
Luka Doncic,,9300,6.1,0.0
Kawhi Leonard,,6500,4.2,0.2
Jaylen Brown,,4400,2.1,0.3
Kon Knueppel,,3900,2.8,0.8
Bam Adebayo,,3100,3.2,0.6
Paolo Banchero,,3100,4.2,0.6
Jamal Murray,,3000,1.9,0.2
Desmond Bane,,2900,2.8,0.7
Jalen Johnson,,2900,4.3,0.3
Tristan da Silva,,2700,2.2,2.4
Nique Clifford,,2600,2.1,3.0
LaMelo Ball,,2600,3.1,0.6
DeMar DeRozan,,2000,4.4,1.0
Victor Wembanyama,,1900,7.0,0.2
Russell Westbrook,,1700,4.1,1.1
Payton Pritchard,,1700,1.8,0.8
