player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Jalen Duren,DET,7400,6.0,0.6,1,1,2026-03-30T00:00:00+00:00
Jalen Brunson,NYK,7400,4.5,0.4,1,2,2026-03-30T00:00:00+00:00
LaMelo Ball,CHA,7100,3.8,0.5,1,3,2026-03-30T00:00:00+00:00
Kon Knueppel,CHA,6400,5.9,0.8,2,4,2026-03-30T00:00:00+00:00
Paolo Banchero,ORL,6400,4.9,0.6,1,5,2026-03-30T00:00:00+00:00
Karl-Anthony Towns,NYK,5100,1.6,0.6,2,6,2026-03-30T00:00:00+00:00
Daniss Jenkins,DET,5000,3.8,2.4,3,7,2026-03-30T00:00:00+00:00
Maxime Raynaud,SAC,4500,2.3,1.9,2,8,2026-03-30T00:00:00+00:00
Zion Williamson,NOP,3700,3.0,0.6,4,9,2026-03-30T00:00:00+00:00
Desmond Bane,ORL,3300,3.3,0.7,2,10,2026-03-30T00:00:00+00:00
Brandon Miller,CHA,3200,3.0,0.8,2,11,2026-03-30T00:00:00+00:00
Tristan da Silva,ORL,2800,2.2,2.4,4,12,2026-03-30T00:00:00+00:00
Malik Monk,SAC,2700,2.6,1.9,2,13,2026-03-30T00:00:00+00:00
DeMar DeRozan,SAC,2600,5.7,1.0,5,14,2026-03-30T00:00:00+00:00
Saddiq Bey,NOP,2500,2.7,1.0,5,15,2026-03-30T00:00:00+00:00
OG Anunoby,NYK,2400,2.9,1.0,4,16,2026-03-30T00:00:00+00:00
Devin Carter,SAC,2200,1.6,3.0,5,17,2026-03-30T00:00:00+00:00
