player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokic,DEN,16300,5.5,0.0,1,1,2026-03-28T12:00:00.000000+00:00
Austin Reaves,LAL,10100,5.7,0.0,1,2,2026-03-28T12:00:00.000000+00:00
Devin Booker,PHX,7500,4.3,0.6,2,3,2026-03-28T12:00:00.000000+00:00
Cade Cunningham,DET,7000,6.4,1.2,5,4,2026-03-28T12:00:00.000000+00:00
Donovan Mitchell,CLE,5600,2.9,0.3,2,5,2026-03-28T12:00:00.000000+00:00
Anthony Davis,LAL,4600,0.5,0.2,2,6,2026-03-28T12:00:00.000000+00:00
Paolo Banchero,ORL,4600,3.9,0.9,3,7,2026-03-28T12:00:00.000000+00:00
Kevin Durant,PHX,4500,4.2,0.7,3,8,2026-03-28T12:00:00.000000+00:00
Pascal Siakam,IND,4400,3.8,0.2,4,9,2026-03-28T12:00:00.000000+00:00
Alperen Sengun,HOU,4300,4.7,0.2,2,10,2026-03-28T12:00:00.000000+00:00
Ja Morant,MEM,4300,4.7,0.7,4,11,2026-03-28T12:00:00.000000+00:00
Jaylen Brown,BOS,4300,5.5,0.7,3,12,2026-03-28T12:00:00.000000+00:00
Lauri Markkanen,UTAH,3600,5.1,0.1,3,13,2026-03-28T12:00:00.000000+00:00
Trae Young,ATL,3300,0.8,0.7,4,14,2026-03-28T12:00:00.000000+00:00
