player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Giannis Antetokounmpo,MIL,12200,7.7,0.0,1,1,2026-03-28T00:00:00.000000+00:00
Victor Wembanyama,SAS,11600,6.3,0.0,1,2,2026-03-28T00:00:00.000000+00:00
Anthony Edwards,MIN,10100,0.6,0.2,2,3,2026-03-28T00:00:00.000000+00:00
Jalen Brunson,NYK,6000,6.3,0.6,4,4,2026-03-28T00:00:00.000000+00:00
Anthony Davis,LAL,5000,5.9,0.4,3,5,2026-03-28T00:00:00.000000+00:00
Cade Cunningham,DET,4900,2.9,0.8,5,6,2026-03-28T00:00:00.000000+00:00
Austin Reaves,LAL,4900,8.1,0.2,1,7,2026-03-28T00:00:00.000000+00:00
Donovan Mitchell,CLE,4800,2.2,0.0,3,8,2026-03-28T00:00:00.000000+00:00
LaMelo Ball,CHA,4300,7.6,0.4,3,9,2026-03-28T00:00:00.000000+00:00
Pascal Siakam,IND,3900,5.7,0.4,3,10,2026-03-28T00:00:00.000000+00:00
James Harden,LAC,3800,3.7,0.3,3,11,2026-03-28T00:00:00.000000+00:00
Cooper Flagg,DAL,3700,3.7,2.1,5,12,2026-03-28T00:00:00.000000+00:00
Luka Doncic,LAL,3300,0.0,0.0,1,13,2026-03-28T00:00:00.000000+00:00
Domantas Sabonis,SAC,2900,2.8,1.4,2,14,2026-03-28T00:00:00.000000+00:00
