player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Giannis Antetokounmpo,MIL,8500,2.5,0.0,1,1,2026-01-13T23:59:00Z
Shai Gilgeous-Alexander,OKC,8000,5.0,0.0,1,2,2026-01-13T23:59:00Z
Luka Doncic,DAL,7800,4.7,0.0,1,3,2026-01-13T23:59:00Z
Jalen Johnson,ATL,7200,2.4,0.2,2,4,2026-01-13T23:59:00Z
Stephen Curry,GSW,7200,2.9,0.2,1,5,2026-01-13T23:59:00Z
Victor Wembanyama,SAS,5100,2.6,0.3,5,6,2026-01-13T23:59:00Z
Kevin Durant,PHX,5000,4.0,0.5,3,7,2026-01-13T23:59:00Z
Devin Booker,PHX,4200,4.0,0.5,2,8,2026-01-13T23:59:00Z
Peyton Watson,DEN,3800,5.4,1.6,3,9,2026-01-13T23:59:00Z
Caleb Love,CLE,3500,2.4,2.6,4,10,2026-01-13T23:59:00Z
Shaedon Sharpe,POR,3200,2.1,1.0,2,11,2026-01-13T23:59:00Z
Naz Reid,MIN,3100,2.6,1.2,3,12,2026-01-13T23:59:00Z
Nickeil Alexander-Walker,MIN,3000,3.8,0.9,3,13,2026-01-13T23:59:00Z
Trey Murphy III,NOP,3000,3.8,0.6,3,14,2026-01-13T23:59:00Z
