player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Stephen Curry,GSW,9100,1.5,0.2,1,1,2025-11-26T00:00:00+00:00
Cade Cunningham,DET,6700,5.9,0.2,1,2,2025-11-26T00:00:00+00:00
Shai Gilgeous-Alexander,OKC,5500,6.5,0.0,1,3,2025-11-26T00:00:00+00:00
Alperen Sengun,HOU,5500,2.8,0.3,2,4,2025-11-26T00:00:00+00:00
Devin Booker,PHX,5300,3.5,0.5,3,5,2025-11-26T00:00:00+00:00
Anthony Edwards,MIN,5000,4.2,0.3,4,6,2025-11-26T00:00:00+00:00
Karl-Anthony Towns,NYK,4500,2.7,0.5,3,7,2025-11-26T00:00:00+00:00
Jalen Brunson,NYK,4200,3.8,0.3,2,8,2025-11-26T00:00:00+00:00
Kon Knueppel,BKN,4000,0.8,1.0,5,9,2025-11-26T00:00:00+00:00
Deni Avdija,POR,4000,5.5,0.5,3,10,2025-11-26T00:00:00+00:00
Brandon Ingram,NOP,3800,3.8,0.7,2,11,2025-11-26T00:00:00+00:00
Scottie Barnes,TOR,3000,3.3,0.4,3,12,2025-11-26T00:00:00+00:00
Jaylen Brown,BOS,2600,4.5,0.4,3,13,2025-11-26T00:00:00+00:00
Jimmy Butler,GSW,2600,4.4,0.5,2,14,2025-11-26T00:00:00+00:00
