player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Tyrese Maxey,PHI,7500,5.9,,1,1,2026-01-04T18:00:00+00:00
Kawhi Leonard,LAC,7300,3.4,0.2,1,2,2026-01-04T18:00:00+00:00
Cooper Flagg,DAL,6200,2.5,0.8,3,3,2026-01-04T18:00:00+00:00
Jalen Johnson,ATL,6000,4.8,0.2,2,4,2026-01-04T18:00:00+00:00
Jaylen Brown,BOS,5700,8.2,0.3,2,5,2026-01-04T18:00:00+00:00
Anthony Edwards,MIN,5300,5.2,0.3,2,6,2026-01-04T18:00:00+00:00
Jalen Brunson,NYK,4800,3.3,0.2,1,7,2026-01-04T18:00:00+00:00
Deni Avdija,POR,3800,5.6,0.4,3,8,2026-01-04T18:00:00+00:00
Scottie Barnes,TOR,3600,3.8,0.5,3,9,2026-01-04T18:00:00+00:00
James Harden,CLE,3300,3.9,0.3,2,10,2026-01-04T18:00:00+00:00
Alperen Sengun,HOU,2900,0.1,0.3,3,11,2026-01-04T18:00:00+00:00
Kevin Durant,HOU,2800,5.1,0.5,5,12,2026-01-04T18:00:00+00:00
Brandon Ingram,TOR,2800,4.6,0.8,2,13,2026-01-04T18:00:00+00:00
Kon Knueppel,CHA,2700,2.0,0.9,5,14,2026-01-04T18:00:00+00:00
