player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Cade Cunningham,DET,7600,3.2,0.2,1,1,2025-12-12T00:00:00+00:00
Stephen Curry,GSW,7400,5.3,0.2,1,2,2025-12-12T00:00:00+00:00
Jalen Johnson,ATL,6800,3.4,0.2,1,3,2025-12-12T00:00:00+00:00
Donovan Mitchell,CLE,5500,6.5,0.2,1,4,2025-12-12T00:00:00+00:00
Michael Porter Jr.,DEN,4900,4.7,0.5,2,5,2025-12-12T00:00:00+00:00
Cooper Flagg,CHA,4600,4.8,1.1,4,6,2025-12-12T00:00:00+00:00
Julius Randle,MIN,3700,3.8,0.4,2,7,2025-12-12T00:00:00+00:00
Josh Giddey,CHI,3300,4.7,0.4,3,8,2025-12-12T00:00:00+00:00
Lauri Markkanen,UTA,3200,3.3,0.4,3,9,2025-12-12T00:00:00+00:00
Jimmy Butler III,GSW,2800,3.2,0.5,2,10,2025-12-12T00:00:00+00:00
Jalen Duren,DET,2700,2.6,0.7,3,11,2025-12-12T00:00:00+00:00
Pascal Siakam,IND,2600,2.4,0.5,3,12,2025-12-12T00:00:00+00:00
Kon Knueppel,CHA,2200,5.9,1.1,5,13,2025-12-12T00:00:00+00:00
Tyrese Maxey,PHI,2100,0,0,1,14,2025-12-12T00:00:00+00:00
Nickeil Alexander-Walker,ATL,2000,2.2,0.9,3,15,2025-12-12T00:00:00+00:00
Evan Mobley,CLE,1900,4.6,0.6,4,16,2025-12-12T00:00:00+00:00
Keyonte George,UTA,1700,6.6,0.6,4,17,2025-12-12T00:00:00+00:00
