player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Victor Wembanyama,SA,21600,5.5,0.0,1,1,2026-03-28T12:00:00.000000+00:00
Shai Gilgeous-Alexander,OKC,16100,5.2,0.0,2,2,2026-03-28T12:00:00.000000+00:00
Stephen Curry,GS,12500,3.2,0.2,3,3,2026-03-28T12:00:00.000000+00:00
Giannis Antetokounmpo,MIL,11900,0.0,0.0,1,4,2026-03-28T12:00:00.000000+00:00
Paolo Banchero,ORL,8500,4.9,0.8,5,5,2026-03-28T12:00:00.000000+00:00
LaMelo Ball,CHA,7400,3.7,0.1,5,6,2026-03-28T12:00:00.000000+00:00
Jimmy Butler III,GS,5400,3.9,0.5,3,7,2026-03-28T12:00:00.000000+00:00
Bam Adebayo,MIA,4900,4.4,0.8,5,8,2026-03-28T12:00:00.000000+00:00
Stephon Castle,SA,4100,4.3,1.3,5,9,2026-03-28T12:00:00.000000+00:00
Aaron Wiggins,OKC,3100,1.4,1.6,4,10,2026-03-28T12:00:00.000000+00:00
Jonathan Kuminga,GS,3100,3.5,1.1,4,11,2026-03-28T12:00:00.000000+00:00
Alexandre Sarr,WSH,3100,2.1,0.6,4,12,2026-03-28T12:00:00.000000+00:00
Dylan Harper,SA,3000,1.8,1.1,5,13,2026-03-28T12:00:00.000000+00:00
Jaime Jaquez Jr.,MIA,2900,2.0,0.7,4,14,2026-03-28T12:00:00.000000+00:00
