player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Luka Doncic,LAL,12400,4.9,0,1,1,2025-11-14T12:00:00+00:00
Victor Wembanyama,SAS,11600,4.5,0.1,1,2,2025-11-14T12:00:00+00:00
Giannis Antetokounmpo,MIL,9600,7,0,1,3,2025-11-14T12:00:00+00:00
Stephen Curry,GSW,7800,8.9,0.4,2,4,2025-11-14T12:00:00+00:00
Tyrese Maxey,PHI,6400,4.1,0,2,5,2025-11-14T12:00:00+00:00
Karl-Anthony Towns,NYK,4200,7.1,0.6,4,6,2025-11-14T12:00:00+00:00
Franz Wagner,ORL,3700,3.2,0.6,3,7,2025-11-14T12:00:00+00:00
Stephon Castle,SAS,3600,2.7,0.6,3,8,2025-11-14T12:00:00+00:00
Kevin Durant,HOU,3200,4,0.7,5,9,2025-11-14T12:00:00+00:00
Deni Avdija,POR,3100,2.1,0.5,3,10,2025-11-14T12:00:00+00:00
Alperen Sengun,HOU,3100,6.8,0.3,4,11,2025-11-14T12:00:00+00:00
Jimmy Butler III,OKC,2700,3,0.6,3,12,2025-11-14T12:00:00+00:00
James Harden,CLE,2500,8.5,0.4,3,13,2025-11-14T12:00:00+00:00
Austin Reaves,LAL,2400,4,0.2,2,14,2025-11-14T12:00:00+00:00
