player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Victor Wembanyama,SAS,7700,4.3,0.2,1,1,2026-03-30T00:00:00+00:00
Devin Booker,PHX,6500,4.6,0.5,3,2,2026-03-30T00:00:00+00:00
Kon Knueppel,CHA,6300,2.0,0.8,2,3,2026-03-30T00:00:00+00:00
Jalen Johnson,ATL,5800,4.3,0.3,2,4,2026-03-30T00:00:00+00:00
LaMelo Ball,CHA,5300,3.7,0.5,2,5,2026-03-30T00:00:00+00:00
VJ Edgecombe,PHI,4300,2.3,0.9,3,6,2026-03-30T00:00:00+00:00
Jalen Duren,DET,3700,2.2,0.6,2,7,2026-03-30T00:00:00+00:00
Cody Williams,UTA,3300,0.2,3.0,5,8,2026-03-30T00:00:00+00:00
Daniss Jenkins,DET,3200,1.8,2.3,1,9,2026-03-30T00:00:00+00:00
Nickeil Alexander-Walker,ATL,3200,5.3,0.8,2,10,2026-03-30T00:00:00+00:00
Joel Embiid,PHI,3100,4.2,0.3,1,11,2026-03-30T00:00:00+00:00
Julius Randle,MIN,3000,1.9,0.6,3,12,2026-03-30T00:00:00+00:00
Josh Giddey,CHI,2500,3.8,0.5,5,13,2026-03-30T00:00:00+00:00
DeMar DeRozan,SAC,2500,2.5,0.9,4,14,2026-03-30T00:00:00+00:00
