player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokić,DEN,13900,6.6,,1,1,2026-03-26T01:00:00+00:00
Devin Booker,PHX,6700,3.6,0.5,2,2,2026-03-26T01:00:00+00:00
Kon Knueppel,CHA,5300,2.2,0.8,2,3,2026-03-26T01:00:00+00:00
LaMelo Ball,CHA,5200,4.4,0.6,2,4,2026-03-26T01:00:00+00:00
Donovan Mitchell,CLE,4800,5.6,0.2,2,5,2026-03-26T01:00:00+00:00
Jalen Brunson,NYK,4800,4.7,0.4,3,6,2026-03-26T01:00:00+00:00
Maxime Raynaud,SAC,4700,1.9,1.9,3,7,2026-03-26T01:00:00+00:00
James Harden,CLE,4600,5,0.3,2,8,2026-03-26T01:00:00+00:00
Jamal Murray,DEN,4600,2.9,0.2,2,9,2026-03-26T01:00:00+00:00
Paolo Banchero,ORL,3700,4.7,0.6,4,10,2026-03-26T01:00:00+00:00
Karl-Anthony Towns,NYK,3700,3.2,0.6,3,11,2026-03-26T01:00:00+00:00
Oso Ighodaro,PHX,3500,2.7,2.7,4,12,2026-03-26T01:00:00+00:00
Jalen Green,PHX,3200,3.5,1.3,2,13,2026-03-26T01:00:00+00:00
Tristan da Silva,ORL,2900,2.3,2.4,3,14,2026-03-26T01:00:00+00:00
Collin Gillespie,PHX,2900,1.9,1.1,3,15,2026-03-26T01:00:00+00:00
Evan Mobley,CLE,2500,4.2,0.6,4,16,2026-03-26T01:00:00+00:00
Desmond Bane,MEM,2500,3.1,0.7,2,17,2026-03-26T01:00:00+00:00
